Time,Condition,Age,ChannelPair,connect_overtime_LA_EEG_Pilot02_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot03_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot04_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot05_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot06_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot07_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot08_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot09_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot10_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot11_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot12_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot13_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot15_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot17_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot18_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot20_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot21_CTS_MTH_chanpair_9m.mat
-1000,cane,9m,FC,0.479680051635513,0.48747679107224,0.4564399217571,0.532632205048352,0.486888837797277,0.401611908504861,0.523625141233897,0.551467990980072,0.481808882748285,0.468565002220736,0.46264619218291,0.44225640467196,0.465046435676325,0.542821863108273,0.44028549367388,0.608369648662455,0.424210666482333
-990,cane,9m,FC,0.484565964334791,0.477179133439013,0.452785356173261,0.525019204565732,0.49107992206286,0.411857284229249,0.525025301981417,0.556934878905904,0.479491296718793,0.46382537661884,0.462275295376098,0.451360102077921,0.471919076162905,0.537335934979738,0.441591741551455,0.605835547476216,0.423889941434208
-980,cane,9m,FC,0.494632654919498,0.464733170915903,0.452724837548278,0.519464016842695,0.496009584254405,0.417593140395657,0.525657577369596,0.562963147635298,0.47774128771876,0.462235372310597,0.467871058278551,0.459177340267832,0.485042176641679,0.528769899475976,0.443905768769583,0.604103169055145,0.423071380836549
-970,cane,9m,FC,0.505490732982233,0.456300176233429,0.4542423500215,0.513649938763542,0.501368047426654,0.416775341848011,0.524385006865164,0.569332019638197,0.479038878166794,0.463830306455696,0.477598812471076,0.461327199790312,0.505102385393772,0.518602457871287,0.447824367900172,0.60412282123854,0.422495366691367
-960,cane,9m,FC,0.511982282708869,0.454241609007933,0.461716878122368,0.507967198757997,0.502901066459165,0.410568190985288,0.522135088851504,0.573933192321429,0.484001236637865,0.466743575150304,0.492523516572865,0.459068758014306,0.527670409700829,0.508110003237499,0.451347306118163,0.60642967962337,0.424812014589251
-950,cane,9m,FC,0.513562032813266,0.4542366973537,0.47317047488004,0.503009005665345,0.500166121708743,0.407317933068385,0.517922385436355,0.575427782343602,0.489618299837906,0.468879797810215,0.509702325517763,0.455714450889449,0.547472673994526,0.499553604605837,0.456247865104026,0.610984181391501,0.427404027068166
-940,cane,9m,FC,0.511047095610914,0.452025077510519,0.486299466576507,0.49827436775226,0.49677312301505,0.407462969016525,0.514018140832017,0.574140095382808,0.493829325886595,0.468507636588583,0.524744669842245,0.45060650938577,0.566898087386455,0.493981887317573,0.463920363309271,0.616825722742379,0.430918924520874
-930,cane,9m,FC,0.504439854916565,0.451928829910593,0.49851753290724,0.492142425119758,0.492077123666545,0.409944216741708,0.513620680929046,0.572331371439085,0.496159207283405,0.467978492713811,0.538423542191077,0.445804584391029,0.587151889872179,0.490160744299944,0.473389047512007,0.623515966320802,0.435253032647621
-920,cane,9m,FC,0.495647091602586,0.458545672373745,0.511078884671216,0.48453563578434,0.487189994487363,0.413329411000359,0.506879810065578,0.570698102453875,0.499552894206145,0.470584124535279,0.55375404809485,0.445313212030294,0.605263651873948,0.486360802727865,0.483183367690144,0.626559105847797,0.441914022187684
-910,cane,9m,FC,0.486703949786546,0.470169632108071,0.523231577140961,0.477097038172837,0.484081986828708,0.415198069707248,0.491566829094516,0.566981367900446,0.503044371036636,0.474112366968548,0.567196293567816,0.4459405102545,0.618166240101871,0.481415754281248,0.49036196701688,0.628891451314228,0.448113533825359
-900,cane,9m,FC,0.479239323578021,0.486526115363908,0.531749086972404,0.470924163762651,0.483456605284526,0.417070552624782,0.475058770444658,0.562819971439575,0.505540631844709,0.478021011979501,0.579337105744289,0.448351719494123,0.623086123501537,0.476241719810214,0.496212186402158,0.630159151031733,0.453006744592902
-890,cane,9m,FC,0.475457016371125,0.507259922415765,0.536462288656781,0.46632396662694,0.483064052426398,0.42192470679104,0.460769936319414,0.558421726204254,0.507527910655578,0.482006087470052,0.589631980101527,0.451571351160463,0.621389325743199,0.472736584415068,0.501085746781883,0.632041064377979,0.454468144882279
-880,cane,9m,FC,0.476666567030096,0.526986776617086,0.539365551872666,0.464508139733655,0.483798770376826,0.432711268792597,0.453521048225438,0.554368367990027,0.507933827998148,0.484267341414419,0.59385963979989,0.455921668049879,0.618176183563508,0.472779540367663,0.505318968206399,0.63873880730923,0.454104797684469
-870,cane,9m,FC,0.480348169809238,0.541839902022773,0.539410376622796,0.464960291532322,0.486141497350835,0.446982880738344,0.451383845050502,0.547953352753886,0.50444663129651,0.486074950812589,0.593808637725495,0.46392309400145,0.614885829006562,0.473833441559558,0.509913120723664,0.650760458978577,0.455985514172804
-860,cane,9m,FC,0.48293626307454,0.54924887481891,0.536189000325292,0.46751465640914,0.492797641718176,0.464520747210188,0.454293438069177,0.539265899879152,0.499091886333491,0.485527525753781,0.591442312575862,0.474166998782274,0.609305550019358,0.476370988976499,0.514238461205085,0.66273865978785,0.461035822211474
-850,cane,9m,FC,0.485116683142025,0.550930431831766,0.530438022772141,0.471183926456179,0.50221420312895,0.482060291450409,0.458836548040431,0.531462647211497,0.495402180000027,0.483367320186593,0.582991084796328,0.486705769326295,0.601860861288369,0.479136713258513,0.518005482451145,0.671135030644191,0.467126305168491
