Time,Condition,Age,ChannelPair,TrialNum,connect_overtime_LA_EEG_12_P04_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P05_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P06_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P07_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P08_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P10_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P11_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P16_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P17_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P19_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P20_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P21_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P22_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P23_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P24_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P25_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P26_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P27_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P28_CTS_MTH_chanpair_12m.mat
-1000,cane,12m,PC,Trial1,0.578058405686662,0.673176936539149,0.544919782356611,0.690551540158642,0.685248064299645,0.793007726451106,0.324976208180429,0.436193836332261,0.517764605480968,0.624418663545756,0.451400700439968,0.751496335375623,0.626838385967077,0.720004451794418,0.868304506570688,0.510912297157672,0.90787659630816,0.438099455955606,0.436904349888418
-990,cane,12m,PC,Trial1,0.575531864616994,0.680761549570414,0.535845030638283,0.687133185430577,0.679798624786575,0.797793310037665,0.333612534013895,0.422299092517071,0.494227134562747,0.60254519177258,0.465736873474182,0.740982491025393,0.620055172291795,0.716339808170916,0.878593021998963,0.537005268347733,0.902833674399731,0.453363028910257,0.442844317526629
-980,cane,12m,PC,Trial1,0.571818785373241,0.687532916294598,0.527561427952528,0.681626911422408,0.675299968083825,0.801984244604625,0.342778599741583,0.410292404504103,0.468678154840071,0.579894514516506,0.482002675791037,0.732380783475712,0.6129464107679,0.714428384109859,0.887592328872618,0.562580915970262,0.893253188897476,0.470610793408794,0.447680416935571
-970,cane,12m,PC,Trial1,0.568560840382197,0.694673713678578,0.51966924643279,0.674664287595936,0.674486548702412,0.80550602041676,0.355093153336424,0.402710051432072,0.443459691791198,0.557951108510897,0.50221120851457,0.72659267864856,0.60521262511306,0.713963639606224,0.895027720649438,0.587696850749673,0.881597417463153,0.48865217286998,0.451265774121787
-960,cane,12m,PC,Trial1,0.565657342597708,0.702508982330039,0.509698605667033,0.6653445570385,0.668773648345215,0.806315335983946,0.371774210797389,0.399745776514118,0.41918068027909,0.536808415950046,0.524980855364915,0.722599094808336,0.594451783675222,0.713816196981151,0.90046111339715,0.611818664999235,0.868412671833582,0.50476154137249,0.462164470453735
-950,cane,12m,PC,Trial1,0.563713051510672,0.71117179588867,0.496976681329423,0.651141919340964,0.661387031951212,0.804572548150984,0.392564510507227,0.400993858949256,0.396026822915429,0.517236884513294,0.548366788700356,0.719479669733754,0.581399179392566,0.713301138077155,0.903027442194467,0.634824227344549,0.854120626354205,0.518881103424832,0.478598624076948
-940,cane,12m,PC,Trial1,0.563127844949985,0.720949650651803,0.482113694350664,0.635727163440722,0.651978204180781,0.801936558654803,0.417612689948398,0.407863615981783,0.374090994617158,0.499908991822399,0.571134566289136,0.715552068659124,0.565874108102054,0.712031702662257,0.902961693801933,0.656486523228475,0.839080480165266,0.534361976710517,0.497537721609779
-930,cane,12m,PC,Trial1,0.564221086926566,0.731913343873032,0.46481565831057,0.618970475537958,0.640369525461336,0.798675427984767,0.446698202711093,0.416829985891933,0.354013739698683,0.485011440028973,0.591439133915208,0.709812692251725,0.547094301770258,0.709498001603026,0.900648657383485,0.676472107924286,0.82357345342275,0.548372942425056,0.518002694790591
-920,cane,12m,PC,Trial1,0.567205507710816,0.743947871716453,0.448725725831046,0.599437038489433,0.626975641759028,0.79374791473005,0.477098855993913,0.428595674241401,0.337928992768098,0.47188403904592,0.609471520618966,0.702883442210154,0.526726433156148,0.70488621431198,0.896813951066875,0.694667580039761,0.807835004851549,0.56091986700844,0.537495545280078
-910,cane,12m,PC,Trial1,0.57225241803528,0.756804433258715,0.436048847971636,0.579168353808823,0.612692114926479,0.787132889686443,0.50640191395428,0.442901684200675,0.324987218863488,0.460179272165812,0.625725507541667,0.694310684763274,0.504325162715976,0.697025144937584,0.892248483146815,0.710549035684964,0.792070146240686,0.575440373338326,0.559493232445425
