Time,Condition,Age,Cluster,connect_overtime_LA_EEG_Pilot02_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot03_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot04_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot05_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot06_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot07_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot08_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot09_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot10_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot11_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot12_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot13_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot15_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot17_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot18_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot20_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot21_CTS_MTH_chanpair_9m.mat
-1500,Grasp,9m,Parietal,29.8193849779592,17.810073860196,23.8475384247798,18.9899573135852,17.22001859896,18.1631233487262,23.6914338773124,18.8668046183821,25.3961546535193,16.7689148048848,21.3257371867034,20.0167729852806,6.08012739015332,16.9370994901578,39.4312837408056,26.433000237871,19.2852823246141
-1498,Grasp,9m,Parietal,29.8353543110699,17.8136805390702,23.8822769203949,19.0084238772439,17.3058788649975,18.1410512926367,23.68618366907,18.9227493757331,25.3799981711366,16.7540049232617,21.2052816611033,20.0628697998184,6.06174658905406,16.9031277997119,39.4082884932037,26.5078584654753,19.3423819720304
-1496,Grasp,9m,Parietal,29.846261702509,17.8113691413542,23.9151457255362,19.0272037820756,17.3936560903877,18.1215700141215,23.6792737221741,18.978062629807,25.3614174527646,16.739948745697,21.0794967495654,20.1086129070158,6.0455788475136,16.8673348193486,39.381513252,26.5806174743828,19.3972679381439
-1494,Grasp,9m,Parietal,29.8521016193091,17.8029963346285,23.946163805748,19.0464684670635,17.4832653323677,18.1053352372018,23.6706995067893,19.0327210570761,25.3406310547622,16.7269552163892,20.9485686834284,20.1537649446226,6.03149958368299,16.8294929314312,39.3510850468199,26.6504794062071,19.4495733920984
-1492,Grasp,9m,Parietal,29.8529348155941,17.7884974169357,23.9753870086071,19.0662343368194,17.5750233225294,18.0925009097125,23.6604866860007,19.0866515072297,25.3179324978034,16.7152530804523,20.8128220964596,20.2013108901545,6.01937946714888,16.7894444763517,39.3171253420268,26.7168650497172,19.4991411766049
-1490,Grasp,9m,Parietal,29.8489042443311,17.7678653425954,24.0028433906088,19.0869907578495,17.6691532817808,18.0827394946423,23.6486738229507,19.1398564677156,25.2936487291269,16.7049250087502,20.6726093250537,20.2489664361244,6.00911848168563,16.7471974958966,39.2797619184718,26.7793108494145,19.5456706093198
-1488,Grasp,9m,Parietal,29.8402671326539,17.7411533746954,24.0285371602193,19.1078718283379,17.7656287137769,18.0757006877006,23.6353265252503,19.1931073376126,25.2682104872866,16.6959948274706,20.5283133040506,20.2972692960342,6.00077427967542,16.7029431381811,39.2392292283877,26.8374970650572,19.5889592487671
-1486,Grasp,9m,Parietal,29.8274959977558,17.7084823067365,24.05263052631,19.1283087977399,17.8651154380639,18.0712594669213,23.6205683207841,19.2463717449315,25.2416297714476,16.6899248313047,20.3803544686524,20.3457109966612,5.99431386890017,16.6574173910036,39.1964706166874,26.8912350577139,19.6291587589118
-1484,Grasp,9m,Parietal,29.8117459062272,17.6700490996737,24.0756217618056,19.1482868298833,17.9680118847612,18.0690877020674,23.6045897445872,19.2991219565872,25.2139788786939,16.6866787984769,20.2291935836455,20.393830438056,5.98984175879352,16.6114751547498,39.1534237080379,26.9404487308135,19.6666255612365
-1482,Grasp,9m,Parietal,29.7947803089691,17.6261464395371,24.0970204053186,19.1680841091138,18.0734424491228,18.068602782832,23.5874877337534,19.351068882597,25.1855206835981,16.6850325001207,20.0753410309664,20.4419735185201,5.98729201817622,16.5645175507297,39.1085300788299,26.9852482405721,19.7004845106639
-1480,Grasp,9m,Parietal,29.7759634585177,17.5772066750261,24.1178327284139,19.1874364901209,18.1802590957478,18.0694623613465,23.5692422965284,19.4020628333348,25.1551492842324,16.6849395584739,19.9193627583479,20.4907667563825,5.98651421579767,16.5165031797714,39.0625602078531,27.0261504454374,19.7302957399545
-1478,Grasp,9m,Parietal,29.7543422206891,17.5237019150831,24.1385124943205,19.2061224174672,18.2872491071754,18.0715681194244,23.5498714346824,19.4519097736402,25.1227287873311,16.6864100691421,19.761890111645,20.5410923586572,5.98758116877514,16.4674338240276,39.0162273012971,27.0632802814718,19.755765443065
-1476,Grasp,9m,Parietal,29.730011758155,17.4657943195949,24.1575177737359,19.2241874305921,18.3934941398652,18.0750330741667,23.5294339074661,19.5000752951864,25.0891388694554,16.6896852889635,19.6036437932586,20.5939544913848,5.99064997467929,16.4172650328405,38.9696633052453,27.0959722322148,19.7766995569789
