Time,Condition,Age,Cluster,connect_overtime_LA_EEG_Pilot02_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot03_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot04_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot05_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot06_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot07_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot08_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot09_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot10_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot11_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot12_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot13_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot15_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot17_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot18_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot20_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot21_CTS_MTH_chanpair_9m.mat
-1500,Grasp,9m,Occipital,32.1116460310965,15.9221432889276,20.5169917175599,18.4781381383581,23.5724457607172,17.500264517642,16.6154134444698,19.0586748919213,24.4415226919049,13.2243854471288,22.1911144654547,26.1961940273504,8.12644918319715,17.4365133991622,26.8545519833628,20.3312848235754,23.402852294108
-1498,Grasp,9m,Occipital,32.0555300886959,15.8739974567796,20.5186504535266,18.5154194590311,23.587391189816,17.4839012514171,16.5841142339726,19.0493025201697,24.407076775151,13.2299834233063,22.1365173066919,26.3627973127308,8.11009674388441,17.4739556509144,26.9488364297151,20.2795307308667,23.3437517295231
-1496,Grasp,9m,Occipital,31.9979186599093,15.8256123155628,20.5174319483588,18.5549105451564,23.6028850126012,17.4681222754367,16.5522996199606,19.038667425233,24.3740911669047,13.2353971406247,22.0756447649199,26.5245532860553,8.09531702260393,17.5133251655842,27.0468706127262,20.2280015152475,23.28329894018
-1494,Grasp,9m,Occipital,31.9396535122919,15.7768098370608,20.5131282464861,18.5965439512461,23.6197964197567,17.4525744692846,16.5199848976233,19.0277256975463,24.3415866657081,13.2405970541149,22.0088852375153,26.680831631092,8.08179314034615,17.5544407893588,27.1494021380901,20.1748889962898,23.2219232617859
-1492,Grasp,9m,Occipital,31.881572091709,15.728193448436,20.5056551250205,18.6405441259861,23.6377895600454,17.4370107226883,16.4871977558325,19.0175736143056,24.3089127574798,13.2456895737285,21.936763427891,26.8311644519525,8.06932859962623,17.5965844846767,27.2559036714325,20.119435386995,23.1607640321691
-1490,Grasp,9m,Occipital,31.8240161953235,15.6799422242335,20.4951030543466,18.686845814142,23.656092188451,17.4212079881539,16.4539948210275,19.0075723091999,24.2756219618773,13.2511177392683,21.8599301974013,26.9751606011032,8.05781071803907,17.6389678541862,27.3655026733143,20.0615028237986,23.1013493803693
-1488,Grasp,9m,Occipital,31.7668386140778,15.6309350484928,20.4817165285519,18.7352726185049,23.6739483431643,17.4048847901292,16.420499600299,18.9975432011073,24.2414566959664,13.2574569167044,21.7791062190952,27.1124969595534,8.04710794306665,17.6811558309777,27.4775096810774,20.0010938379164,23.0428041524628
-1486,Grasp,9m,Occipital,31.7099267587535,15.5803752906603,20.4658599576468,18.7857904456076,23.6907898933005,17.3877259013207,16.3869281475838,18.9876915739649,24.2063687190788,13.2644859397815,21.6948731474979,27.2429098843503,8.036941225223,17.7229325206448,27.5913274729714,19.9383674882659,22.9854465253456
-1484,Grasp,9m,Occipital,31.6565578947754,15.5279250674182,20.4488140245397,18.8382211558185,23.7064276479859,17.3694916883326,16.3537812611331,18.9782115801195,24.1704906769497,13.271768524924,21.6073460700766,27.3661895211293,8.02699515969847,17.7641521451317,27.7064422849165,19.8737929897161,22.9292231064508
-1482,Grasp,9m,Occipital,31.6039671912822,15.4734618869848,20.4308202388248,18.8922888728421,23.7200885551094,17.3501508099132,16.322289383899,18.9691272887753,24.1339763528071,13.2793237881889,21.5161600753724,27.4821677239773,8.01698605555386,17.8045341418712,27.8224137188394,19.8081073554981,22.87424004553
