Time,Condition,Age,Cluster,connect_overtime_LA_EEG_12_P04_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P05_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P06_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P07_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P08_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P10_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P11_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P16_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P17_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P19_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P20_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P21_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P22_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P23_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P24_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P25_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P26_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P27_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P28_CTS_MTH_chanpair_12m.mat
-1500,Grasp,12m,Parietal,27.7107136536789,29.8224696071785,18.8683691111912,13.9281666897705,37.4953684600128,14.9298842043462,18.4002575948329,8.20224028828618,22.4985490306458,17.8711229630964,17.5493826730649,20.9103204509853,19.639702245481,29.4567634581212,26.497762134287,21.418822479819,22.2637637963689,18.9100642715353,12.6725166225769
-1498,Grasp,12m,Parietal,27.7374657710358,29.790895080235,18.8519679187937,13.9482257445931,37.4585741350785,14.9444395268423,18.5106256116673,8.17851197394615,22.4564801269096,17.877294073018,17.5709500620206,20.9242170282684,19.587462106153,29.4544322085169,26.532823703815,21.5564262304904,22.3233637510987,18.8883655239417,12.6954823608742
-1496,Grasp,12m,Parietal,27.7663524586623,29.7583467389261,18.8397553246206,13.9713294938145,37.4221311067583,14.9596646111941,18.625270375806,8.15524567111019,22.4117199478547,17.8830041161003,17.5914400908627,20.9365566781126,19.5339017002069,29.453697725423,26.5638269840478,21.6979820822664,22.3831297577872,18.8639394874738,12.7187178501278
-1494,Grasp,12m,Parietal,27.7971149036336,29.7250356546585,18.8304289360889,13.9977070301193,37.3872171888833,14.9756322490125,18.7443048127083,8.13264462821569,22.3651683626113,17.8884391220477,17.6103956597309,20.9471597303136,19.4792939832042,29.4544077217372,26.590441322136,21.8487826459343,22.4427772561317,18.8368863351791,12.7419697325307
-1492,Grasp,12m,Parietal,27.8301071301807,29.6913934805359,18.8228818907366,14.0278916969369,37.3536442261159,14.9920106915142,18.8654981166214,8.11100526117307,22.3162317778851,17.8940596847237,17.6271167793208,20.9559430842789,19.4240108258183,29.4564334076573,26.6125297616608,22.0053606040028,22.5019576831633,18.8074088555148,12.7649301277265
-1490,Grasp,12m,Parietal,27.8648297364778,29.6580821966587,18.8168970309231,14.0623938087983,37.3208701919333,15.0082887055326,18.9873520895942,8.09065520687504,22.2645417714317,17.9003740019103,17.6416760153611,20.9629253027827,19.3683574616388,29.4596367834833,26.6300629549443,22.1659305832902,22.5603325212603,18.7758405604859,12.7874470381013
-1488,Grasp,12m,Parietal,27.9014859764094,29.6264728615496,18.8121401414461,14.1014865151431,37.2891765480954,15.0240974686119,19.1090998304814,8.07197255558089,22.2102668745055,17.9084704924226,17.6542128694515,20.9683201199902,19.3127916433944,29.4639210424051,26.6431441638368,22.3325625784367,22.617622227606,18.7426566814313,12.8094386560431
-1486,Grasp,12m,Parietal,27.9401764625476,29.5962894613718,18.8072519186909,14.1445407132493,37.2589354826178,15.0392217713605,19.230213369197,8.05536426494354,22.1534919422711,17.9180820647141,17.6649072263825,20.971982895833,19.2572598532843,29.4694764024721,26.6525151613439,22.5045472651517,22.6736137105354,18.7081028396859,12.8307424541082
-1484,Grasp,12m,Parietal,27.9795822010174,29.565636173258,18.801478712699,14.1906845459559,37.2305741699585,15.0535820716956,19.3502633563871,8.04121648004654,22.0942475873637,17.9292983711659,17.6739694338609,20.973786574576,19.2014238722619,29.477198605168,26.6585710143113,22.6804837686254,22.7281602700396,18.6722240215621,12.8513412398443
-1482,Grasp,12m,Parietal,28.0192909375641,29.5344850018739,18.7944264465005,14.2396846644797,37.2040692579391,15.0672007681406,19.4688114391567,8.02891276201428,22.0326084432874,17.9411341969432,17.6816828594404,20.9738262625616,19.1454023684096,29.4866836283271,26.6615229159096,22.8606564361177,22.78117710832,18.6349468657491,12.8714858724262
-1480,Grasp,12m,Parietal,28.0589204042329,29.5028555258021,18.7858375265947,14.2915445020604,37.1795254157161,15.0800030929382,19.5857245865817,8.01831838728714,21.9687304521576,17.9539952217395,17.6889597085562,20.9725141528918,19.0897635831839,29.4974329306664,26.6616735834945,23.0445304370885,22.8326451379428,18.5960919891542,12.8903552162335
-1478,Grasp,12m,Parietal,28.0981482555373,29.470914064888,18.7755440702272,14.3469556842434,37.1576019667687,15.0918321316685,19.7020459428981,8.00949316548205,21.9028343722887,17.9676490214306,17.696471768064,20.9701078643262,19.03477528131,29.5092396117525,26.6578690725154,23.2312568850176,22.8826220078656,18.5556501632696,12.9079234445903
