Time,Condition,Age,connect_overtime_LA_EEG_Pilot02_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot03_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot04_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot05_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot06_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot07_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot08_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot09_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot10_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot11_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot12_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot13_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot15_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot17_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot18_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot20_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot21_CTS_MTH_chanpair_9m.mat
-1000,Cane,9m,0.565350917447984,0.515676161207301,0.557889423014254,0.53118629931285,0.522231427736044,0.531630175876725,0.527896684301823,0.530701569150621,0.510314078578627,0.535150917826654,0.523050723310486,0.514218916869379,0.573844703871532,0.576539365503464,0.499002106589386,0.553236561479739,0.528186658433331
-990,Cane,9m,0.56701975682802,0.516097217293051,0.5595831524593,0.529916062675416,0.523488029271788,0.532955013032653,0.524493033327482,0.527392533022868,0.509956735981904,0.536204750889428,0.517883802515067,0.514182999589612,0.571389584295907,0.576919359777445,0.498254734738681,0.551860718750441,0.52970301354303
-980,Cane,9m,0.570024998472674,0.51520297370248,0.561929534892489,0.5319227850697,0.521101775215124,0.535857966654503,0.523638130184622,0.525375314677449,0.508779872781733,0.53786996739317,0.522829239877806,0.514909831337698,0.568464618462891,0.578894534811636,0.496653572976455,0.550611297008367,0.529203366206808
-970,Cane,9m,0.571732429551629,0.514163497403109,0.560392454127398,0.530123696645685,0.524344516597279,0.533598957167147,0.522188474278621,0.525820254136616,0.51039092667879,0.53739804752347,0.524375061247714,0.513632209800471,0.57036890231786,0.576666544671611,0.496811901127617,0.546339920888633,0.529732200847847
-960,Cane,9m,0.572465455517765,0.51236885315709,0.560879926986714,0.526713349685622,0.527401924092745,0.535283942532992,0.523229715516167,0.524023927010201,0.509649786094157,0.536105357538555,0.528847340806125,0.514193422595254,0.569768074648113,0.573838924889013,0.495796872821956,0.546683958089789,0.530229893173606
-950,Cane,9m,0.572973599076598,0.509045461981438,0.5611684298056,0.526863342157597,0.52796968011471,0.536698555010454,0.52236410036145,0.525743882399365,0.510581950689206,0.533825418903781,0.53433953925845,0.51352102525976,0.571687105990407,0.571075172943282,0.495716535385975,0.547259288061103,0.531145550520329
-940,Cane,9m,0.574697780530637,0.506408885689992,0.560910603324257,0.526780131930123,0.528940760946737,0.536712131968166,0.520767144580673,0.524706372690215,0.510912936596639,0.532599116299526,0.535764957015683,0.513407803420396,0.569067835835124,0.569099645355166,0.497454018954008,0.546215354349392,0.530650826011109
-930,Cane,9m,0.575698144641624,0.504505571277345,0.560736286079452,0.526148838190593,0.526121394362535,0.53437935511939,0.518187478925626,0.522406725840908,0.512142698642954,0.532816354704796,0.534813883150344,0.512369151903554,0.569090443047091,0.565302809062446,0.499862056287547,0.543854344613627,0.531359980845148
-920,Cane,9m,0.578853832956258,0.502171216949854,0.560163018568543,0.526200148277238,0.52466927045755,0.533973974256585,0.514284264885691,0.522410852652064,0.512306180894015,0.533273704551418,0.534910850719837,0.512282579398009,0.567164285869212,0.562167737742808,0.499120925504002,0.540348883592028,0.530677579873728
-910,Cane,9m,0.578966313592539,0.500367592438742,0.560637501176344,0.526108093705137,0.52376255573545,0.534265983483954,0.514688522601043,0.522195562149108,0.512496550141337,0.534989277073264,0.537310719186195,0.513117337238522,0.566095275379774,0.562336557942454,0.50067785932668,0.537823858795256,0.531940223306737
-900,Cane,9m,0.578795959123163,0.501629918440544,0.560063187559187,0.527113612103254,0.522147102047297,0.534824754310788,0.514225418413124,0.522261703225308,0.511537567494263,0.537934231993801,0.536390137671463,0.512343722126748,0.564384062659405,0.561531522780336,0.501376632489095,0.537269085905715,0.531602737807325
-890,Cane,9m,0.578098150974863,0.50204741741673,0.560225842612089,0.527595744859205,0.519848516653102,0.532726765382137,0.513698299794486,0.521042173148261,0.510582824227132,0.538860954949616,0.535434228245068,0.514254859119554,0.561393798765255,0.564377597102936,0.500948074524618,0.534691813943383,0.532738641671661
-880,Cane,9m,0.578249772184533,0.504116419521877,0.55927075124675,0.527036557137243,0.518570846144082,0.532381983287159,0.517209228864443,0.52150979447387,0.509388571275655,0.538193024869421,0.532954051686987,0.515460231587936,0.556277282366036,0.56601814828819,0.5005393370827,0.535720992381758,0.534639221338994
-870,Cane,9m,0.578778294506313,0.507761940068327,0.56113191470072,0.528369767399124,0.515536899113784,0.529234042960296,0.516641617230651,0.522222996123595,0.509507520709435,0.536196324935072,0.529596806186189,0.513921730406822,0.553172443378005,0.567439777891027,0.500985879818748,0.535518455948549,0.535366783423531
-860,Cane,9m,0.578448314989251,0.510990633723317,0.561033930043538,0.529649783831652,0.514528781874885,0.524607421013868,0.521253581319192,0.523180212897224,0.507468558246234,0.535693505000451,0.527240979407311,0.516356635641511,0.552613223581597,0.567625398147065,0.499482567110009,0.534635607378647,0.537171830611681
-850,Cane,9m,0.576301865732375,0.512524698974985,0.558818823875663,0.529478214175232,0.513584269660066,0.525457348986521,0.524723314859945,0.522079341078084,0.506416747560629,0.534636683685832,0.525819684196601,0.517561967034891,0.552831513463092,0.564692190243772,0.499870047672163,0.535319172449305,0.536938218631043
-840,Cane,9m,0.574646809178272,0.513942913362028,0.55448935069307,0.528829003727317,0.511441669441863,0.519571040829305,0.527329821966953,0.524137184789477,0.50552217617211,0.53341807516938,0.526851664082164,0.519271538311701,0.551948104524656,0.563549870585043,0.499394282113384,0.532582859116045,0.536483456324315
-830,Cane,9m,0.570212029357869,0.512931653106953,0.550577680234213,0.527853320890125,0.509498669918305,0.519654663458553,0.530369400849394,0.527056781915885,0.503441396809525,0.533568280231205,0.525267394196149,0.51961009975052,0.546883903576716,0.562433157372622,0.499007071654784,0.532249887290016,0.539008156496432
-820,Cane,9m,0.56662882700416,0.511917472373294,0.549241301702916,0.529195030164078,0.508404065326499,0.520798325197234,0.532327834206986,0.529355273095761,0.503968028625716,0.528892065760156,0.524805085458551,0.520797230478069,0.541671967194424,0.553590015065846,0.498903358314323,0.532952711271529,0.540080120971964
-810,Cane,9m,0.568374518788032,0.513638344372006,0.545583965425805,0.529653276853485,0.505333893741668,0.523743783478476,0.535004129407147,0.530306770469704,0.502499760271284,0.531041554654614,0.525604469495749,0.522255706180807,0.545038437080344,0.548907420502485,0.498741065062432,0.533274508571126,0.539080009645144
-800,Cane,9m,0.566472447029525,0.514713917679275,0.541668622137721,0.530358903392529,0.503916256337111,0.525426404347149,0.534284076669703,0.530792961401046,0.503019667265142,0.530400595677487,0.523431173422485,0.520866812899613,0.543679317399465,0.54693861249385,0.499589092735595,0.532782810801231,0.540900433984222
