Time,Condition,Age,ChannelPair,TrialNum,connect_overtime_LA_EEG_12_P04_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P05_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P06_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P07_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P08_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P10_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P11_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P16_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P17_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P19_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P20_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P21_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P22_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P23_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P24_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P25_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P26_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P27_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P28_CTS_MTH_chanpair_12m.mat
-1000,cane,12m,OC,Trial1,0.504373900811828,0.550763669920803,0.541749004897157,0.527400163976387,0.317249632127157,0.468842922255306,0.404363183763513,0.529410214404847,0.474323772658133,0.51926056961632,0.534085367544373,0.662518825153503,0.580228130646911,0.48476009815904,0.814546911290429,0.576758792821947,0.752080304376881,0.664365877216726,0.485953307102151
-990,cane,12m,OC,Trial1,0.51319141901673,0.564720834843876,0.544535927094015,0.531705101057985,0.314821996678105,0.455587823466795,0.410689036018914,0.538255067144446,0.464838978268734,0.486277094101966,0.549383138758283,0.626579959896698,0.571179829750288,0.488528986855683,0.812913076322918,0.583783553643958,0.759351240733673,0.67870272576629,0.479584390949118
-980,cane,12m,OC,Trial1,0.522719750478822,0.581959627970939,0.549979068714105,0.534883751014317,0.314668817399095,0.441776630888584,0.42059367816253,0.549537500887649,0.457156487008961,0.454359169265623,0.56457699699659,0.589547833275851,0.563012079761323,0.495832774556201,0.810404279653199,0.593233149273174,0.762667719433779,0.691582541530927,0.468216955764688
-970,cane,12m,OC,Trial1,0.535214511592409,0.600502275857345,0.557257288280778,0.53806124279205,0.316803922936871,0.427633694125914,0.431670339918639,0.561770614994063,0.451163917739369,0.426416274325753,0.578963815881979,0.551677161101729,0.556467373528338,0.506273470883979,0.807407061712063,0.603836713413465,0.763100497065916,0.701594228152467,0.451968228163613
-960,cane,12m,OC,Trial1,0.550288984010435,0.619858285413918,0.56361749188244,0.540101910341527,0.321444493760809,0.413007726298488,0.443427247532228,0.572443774531328,0.446702743494531,0.403499384257954,0.590482514804546,0.513250038890223,0.551877011484821,0.519648029210764,0.804332157564499,0.615878913510524,0.762921125136279,0.707187394948062,0.431008780325003
-950,cane,12m,OC,Trial1,0.5679485902856,0.639639253906021,0.568646550072623,0.539760768642546,0.327424569247943,0.400628002877926,0.454632891052937,0.57981643280115,0.443614821702753,0.38786746684132,0.598003277942187,0.474607398560001,0.549218619580512,0.535757962393129,0.801532249696483,0.628624137879416,0.763158189623706,0.707722371973272,0.408994736726745
-940,cane,12m,OC,Trial1,0.588123435157252,0.658841863876909,0.570912823925025,0.539460378928544,0.334346129156075,0.393689078509465,0.464604482242222,0.583969784408379,0.441915271024166,0.379152476863768,0.601111006176174,0.436908438123629,0.548218686444692,0.5544159415065,0.799311959580882,0.641417058276945,0.764042669947416,0.70481058022001,0.387923606640343
-930,cane,12m,OC,Trial1,0.610463137221838,0.676610944943829,0.572670956159123,0.540572039700903,0.341317217290578,0.389717043677646,0.473735181061316,0.586267571006895,0.442104967820914,0.375578345235135,0.598139099062085,0.402097324941381,0.548347423536134,0.575450228836739,0.797910280450113,0.653828602254181,0.765539285643064,0.699560324765672,0.369638394362462
-920,cane,12m,OC,Trial1,0.63337375544996,0.691825469987573,0.573768491157578,0.543070948998059,0.347659377116846,0.386888971323671,0.482416990533963,0.590134121768229,0.444171063620314,0.376064576779546,0.587403627290827,0.369343112727501,0.549002168995937,0.598591133474451,0.797459908803774,0.665434491293785,0.767513467202236,0.692184823980454,0.356783004439729
-910,cane,12m,OC,Trial1,0.656973865638354,0.706476066852676,0.572579982569831,0.546607330493504,0.352226569455265,0.386725628156227,0.490928384313515,0.595570435772766,0.447376563126571,0.379629275068267,0.568880119426048,0.339547961555251,0.549584592955909,0.62299615767152,0.797974063964757,0.674748571974113,0.769767420299703,0.682924588778064,0.348661075451472
-900,cane,12m,OC,Trial1,0.676858314761725,0.720691445120526,0.569111151614924,0.55079980258368,0.35494338023754,0.389908554867371,0.499389773638318,0.601398410862875,0.451547189209566,0.385383082554582,0.544305369804517,0.314220414775091,0.549396738489029,0.647081383576069,0.799373748292422,0.682323870081571,0.772060592182266,0.669510445948937,0.342879526700382
-890,cane,12m,OC,Trial1,0.687893153432769,0.734557979579041,0.561228847302437,0.555462253267461,0.356993905892455,0.3962675256615,0.507505992364895,0.60464130864858,0.456789691080412,0.39260209737573,0.517157977116804,0.295806410823376,0.54757563380119,0.670216141360981,0.80153065398936,0.688329496819421,0.774143387015094,0.655179804601619,0.338942505299668
