Time,Condition,Age,connect_overtime_LA_EEG_12_P04_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P05_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P06_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P07_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P08_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P10_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P11_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P16_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P17_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P19_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P20_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P21_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P22_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P23_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P24_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P25_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P26_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P27_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P28_CTS_MTH_chanpair_12m.mat
-1000,Cane,12m,0.54961395792636,0.572726361004059,0.566266403075531,0.527297085495308,0.604145317222645,0.534721953104663,0.550082656360855,0.533284259920298,0.560541894382869,0.58722178831585,0.5530870780234,0.612092507822219,0.550577785649146,0.611378132165365,0.580102913043695,0.590445815232089,0.582748331305277,0.564545504004157,0.542825892879359
-990,Cane,12m,0.54994678993566,0.570869433165425,0.565542578294361,0.527498395872211,0.604239127888651,0.535418375179669,0.550487286754494,0.530927903584102,0.564060288986835,0.588958298308507,0.55525109768981,0.611305681826309,0.548251420474968,0.612764045852843,0.58135833493175,0.588354230070625,0.580908042155168,0.565423507745872,0.542675814869939
-980,Cane,12m,0.550721334722826,0.568925722713157,0.565067083186879,0.528286539681185,0.608624298416914,0.535783197106363,0.549941447121,0.530577193071313,0.567376690234362,0.588821984989462,0.558076789406329,0.611203446456247,0.549826785746439,0.61172929358349,0.582001840830659,0.588369291237909,0.57944977347296,0.56636714899793,0.543552383925681
-970,Cane,12m,0.550167466792131,0.568235056418278,0.564081208177384,0.529803749470707,0.609206626765702,0.535078553893765,0.549394200871805,0.529986649383813,0.569329152008903,0.586968294019716,0.560857924886595,0.610734821082308,0.54996777467404,0.611379137005328,0.580551561778522,0.588082916886974,0.577260927063826,0.566138418639661,0.543535099601938
-960,Cane,12m,0.54993826281909,0.569198443552147,0.562664394857858,0.530005707595049,0.611859541484736,0.536243121099394,0.549939412460616,0.527758603562589,0.573107495975984,0.585913635578114,0.561637270518938,0.610034772436195,0.550300827660912,0.611587526189207,0.579589895834085,0.587804858274272,0.576216412503642,0.565442487209051,0.545997725879608
-950,Cane,12m,0.549917401130008,0.570241083000331,0.561338662836157,0.530834166292082,0.613339684418016,0.535025014197496,0.549050168627331,0.528716607843731,0.576438448537673,0.585194800733577,0.56327656470383,0.608484108520011,0.549482940112772,0.611352419979654,0.581025810019451,0.587637516996221,0.575710094171417,0.565801987635701,0.546699808342239
-940,Cane,12m,0.549906562210074,0.571572452063969,0.562309114747853,0.53161540047698,0.616537885210983,0.534499046558262,0.546876818387001,0.529282678454916,0.57842519813789,0.583442732606477,0.566668408799408,0.607277369793723,0.549293923934439,0.609121118548342,0.579152437212084,0.587572142122409,0.574128444980857,0.565652852844147,0.546546993406447
-930,Cane,12m,0.54964414468072,0.574096769212285,0.561422919243114,0.532595862290147,0.616563986241013,0.533963025779146,0.546602334984407,0.529407061134883,0.580793811715434,0.582167141668161,0.567587059369328,0.60711075245929,0.550154342552973,0.607616970503916,0.579540754853512,0.588396378677217,0.575778758611946,0.565729074874107,0.546391463093094
-920,Cane,12m,0.549634753014952,0.576316070308198,0.561736850357876,0.533256849234604,0.619088511234271,0.533767157278017,0.54434337968119,0.530621356325199,0.582658283586511,0.579962294143817,0.568861646167064,0.605867620078998,0.550195400214794,0.604780136848648,0.578830063570488,0.586414346558682,0.575551411489194,0.565409029366864,0.547565993761216
-910,Cane,12m,0.550784227032442,0.577739528223801,0.563548935125888,0.532917938413494,0.622266574659124,0.533515792198077,0.544095955643047,0.53108003250206,0.583989964105204,0.57901684964267,0.571039489982103,0.60560758929684,0.551462569346863,0.604595099249466,0.578810591008023,0.58619325294272,0.576244371185638,0.564459702372524,0.550225305156082
-900,Cane,12m,0.5515020976698,0.578865561208652,0.565355353622978,0.532411785308004,0.62342887240606,0.531688974596789,0.544692602471893,0.53138977032703,0.585151859409439,0.576185926285199,0.573647063391382,0.605149200326211,0.552764064870805,0.604387699960242,0.578449818444747,0.586805454026947,0.575530062145184,0.56374655894573,0.552211082237705
-890,Cane,12m,0.55095086420277,0.580385339694432,0.566704824384357,0.532575789800807,0.624858437200585,0.531010343670801,0.546460849500502,0.531528415375445,0.586731110658947,0.576369616434736,0.575845661566441,0.603522488182606,0.553594279207094,0.603847381567964,0.576789847279879,0.587115103543789,0.576893348825286,0.564674070668252,0.554594383400316
-880,Cane,12m,0.552517045209599,0.582093936923889,0.567509161189934,0.532683292655269,0.62771669607127,0.530308771198257,0.546532514793056,0.533515061427612,0.590268877076036,0.572326821776387,0.577280766036788,0.599660478850121,0.552359609459564,0.602198403043565,0.575233135778021,0.587773998649916,0.576587216755043,0.564698112026017,0.556441144953502
-870,Cane,12m,0.551230322961771,0.581948788872831,0.568600936594792,0.532655105966346,0.629783069319677,0.527659430093536,0.545960758152958,0.535454670584323,0.59162714136902,0.573051224388172,0.578430930376034,0.598890471802227,0.55241520285265,0.599623006189453,0.574347208696717,0.58936483670618,0.578247529280076,0.564113118809384,0.556986480327535
-860,Cane,12m,0.550292519136159,0.58089940193834,0.569460019238133,0.532479960713665,0.630659391053662,0.527082299079834,0.546234302374876,0.537472330063785,0.591957523403999,0.572115075198102,0.58120897310365,0.598964129648358,0.551678596927076,0.59929187988037,0.57231995646101,0.591937862801758,0.581188411668588,0.562888262499619,0.557114130386406
-850,Cane,12m,0.551240010468598,0.579915803204003,0.570454900869332,0.533746700009301,0.631124482716041,0.524655600580376,0.545991559657248,0.540616059175679,0.592589292638574,0.568799285342726,0.580882622582139,0.598398977359901,0.551677416726338,0.597290001901049,0.570568379048049,0.591503399663238,0.583344222222529,0.562989341169205,0.557000029338204
-840,Cane,12m,0.551795203314331,0.579641412106201,0.573812844433471,0.535708730279947,0.632555003219109,0.522899114172583,0.545357579993008,0.543644550529554,0.593901917263027,0.567876081543433,0.581407945506474,0.59636037315337,0.55162233155109,0.596562375334542,0.569753231437563,0.59119795651701,0.584171424217484,0.562685872664167,0.556438957767376
