Time,Condition,Age,ChannelPair,TrialNum,connect_overtime_LA_EEG_12_P04_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P05_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P06_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P07_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P08_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P10_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P11_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P16_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P17_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P19_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P20_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P21_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P22_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P23_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P24_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P25_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P26_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P27_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P28_CTS_MTH_chanpair_12m.mat
-1000,cane,12m,FC,Trial1,0.404991329810603,0.375055651120293,0.548835593453042,0.542974488595269,0.643639907450611,0.469498611140482,0.432044607876445,0.338534889625404,0.53746503031631,0.322548713387827,0.475981876816713,0.49528643109548,0.53359296251554,0.726546466879972,0.734444713853398,0.440322915719159,0.906478639507085,0.532943614668765,0.400189132505388
-990,cane,12m,FC,Trial1,0.401476697380517,0.380019049375803,0.554992844151984,0.549043263046817,0.640841532979259,0.48595436767761,0.434976943965584,0.336306148578614,0.525394310365523,0.308669965489517,0.468902596995482,0.49191100871742,0.522203292081421,0.712589460975557,0.73700821052172,0.454230794830851,0.90714572584903,0.525643118703273,0.387957456723998
-980,cane,12m,FC,Trial1,0.39579833738912,0.385702171944556,0.557327207916386,0.555201494662457,0.637783326998008,0.50231714900329,0.443690675840546,0.337013633694852,0.510310547976285,0.296985693334742,0.462422662002401,0.487552815757516,0.5104461546607,0.699352482658237,0.738660842523858,0.467087280379566,0.905815240366779,0.517880513710247,0.377264023700962
-970,cane,12m,FC,Trial1,0.386559182242455,0.390277797584468,0.5557834734959,0.561447668810625,0.632662685677471,0.517740711673998,0.456157021423721,0.339480639390958,0.492746499692798,0.290132001888837,0.455953092079971,0.482574155002037,0.50023458869394,0.687103939344122,0.739283476687681,0.477467080879878,0.902766659780972,0.509949114103748,0.366785745158023
-960,cane,12m,FC,Trial1,0.376854735591579,0.394195619501966,0.551231902163426,0.567364878533879,0.625286556041082,0.531371651880157,0.471980159792484,0.342909991987245,0.473119068190501,0.288397713889319,0.450536223265972,0.477316792024536,0.492922549897031,0.676169147343639,0.73907778173915,0.484883455489636,0.898098167825947,0.500702148768743,0.356569871992485
-950,cane,12m,FC,Trial1,0.368406689621106,0.398080229624266,0.544344070630995,0.575742121146485,0.617226115906543,0.544549501625487,0.490673266808245,0.346427806032266,0.451961394685066,0.28924053392086,0.445613203995097,0.472071052641734,0.488940826953971,0.6666491182764,0.735700482057627,0.486940517948061,0.891785804774718,0.490391881970584,0.348373629588756
-940,cane,12m,FC,Trial1,0.363051668871673,0.401997647032826,0.538003661053199,0.58264032461596,0.609798701582988,0.55751574722236,0.511389521631901,0.349706949382034,0.430146969251938,0.291397278599928,0.440946929265779,0.467954151408972,0.487769038508901,0.65853326104897,0.729819447112443,0.48499084274382,0.88394990500142,0.480120335152462,0.34194512082567
-930,cane,12m,FC,Trial1,0.362478358971829,0.405774558759967,0.533909732908976,0.586077067411472,0.604364994702077,0.569880383379447,0.532751719250146,0.353621296354124,0.406746414494123,0.291329042165579,0.435752284699177,0.465745453579955,0.488132861298225,0.651642514312014,0.721942332614537,0.48177009067606,0.87474284074552,0.471074666950986,0.343255669496911
-920,cane,12m,FC,Trial1,0.365956945179718,0.409261849168344,0.532429590516572,0.58645787107532,0.601028902915852,0.581691675777065,0.55305951358095,0.357335467283809,0.385000218213277,0.291798995681832,0.430460018846748,0.463548034900525,0.487966238218738,0.645432826201632,0.712435513400261,0.47854402315882,0.86431370905197,0.464114089339724,0.349009593937906
-910,cane,12m,FC,Trial1,0.372645358957529,0.412404123350631,0.531752578847838,0.586472590116021,0.601109521429892,0.591155812053507,0.569931920837093,0.360837665686715,0.367289387144131,0.293401319605557,0.425724323512831,0.460668663227773,0.489493100110334,0.638676524885445,0.701727947423612,0.476336838796797,0.852806630870953,0.459299078730794,0.357187256947007
-900,cane,12m,FC,Trial1,0.384293696710001,0.415210305279875,0.53160757559104,0.58637841851496,0.605476247012367,0.599112241893096,0.581804385392056,0.364273424452207,0.35571188585085,0.295010413593334,0.42409530144685,0.455932163656657,0.491819792856095,0.62852731258618,0.69014959741962,0.475649057812239,0.840365841273751,0.455791525929073,0.367178963899472
-890,cane,12m,FC,Trial1,0.403708059321841,0.417633023428162,0.531833875501568,0.58658271143707,0.613392183533173,0.606599795647704,0.590870195565727,0.368229613326288,0.351360359706017,0.301983351351521,0.427332583153497,0.448557373677163,0.492952601700321,0.616775080130297,0.677933883220911,0.476618120743642,0.827137571383457,0.452650416273905,0.377756063888714
