Time,Condition,Age,ChannelPair,TrialNum,connect_overtime_LA_EEG_Pilot02_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot03_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot04_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot05_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot06_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot07_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot08_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot09_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot10_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot11_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot12_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot13_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot15_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot17_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot18_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot20_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot21_CTS_MTH_chanpair_9m.mat
-1000,cane,9m,OC,Trial1,0.456043515809072,0.423720548267883,0.658567122810968,0.523707263981871,0.449586165296148,0.525449659555165,0.533548251125023,0.467055486692658,0.852028811983221,0.51681856606312,0.603433906976372,0.472443905616675,0.446418775402349,0.443970592402283,0.437220373917417,0.41369238272203,0.733281155442306
-990,cane,9m,OC,Trial1,0.474820639761929,0.425127593044763,0.66086953395134,0.518204877700453,0.453860684702479,0.524713056947807,0.534623725587649,0.464124346359148,0.837516811861033,0.505617009551359,0.602912648074481,0.455892318883114,0.463088169395284,0.430951481297027,0.438635930244506,0.40274889453873,0.728396040702382
-980,cane,9m,OC,Trial1,0.493265755796248,0.428762176034595,0.660609393682383,0.514578325360075,0.458629755049626,0.524883225582606,0.535796083059959,0.458158980004119,0.818639186542082,0.492640103155791,0.600697059537049,0.43878456275019,0.480211957466171,0.422187156973145,0.438052190420882,0.396773758124225,0.723011966961543
-970,cane,9m,OC,Trial1,0.511502734465865,0.434027359841981,0.657567993166567,0.513941252052909,0.464641671957996,0.527866713415419,0.537230679554239,0.452291135295043,0.796444674791618,0.478912446928781,0.597797092377467,0.421414986983733,0.495122350123744,0.419106332774678,0.43536539248324,0.395707721740329,0.71745014895377
-960,cane,9m,OC,Trial1,0.529949509673226,0.439695252305537,0.652249042690723,0.515732602273526,0.473873691357813,0.530308864281677,0.538578309400007,0.44709437320284,0.772849584473149,0.466234096705627,0.594273643852847,0.403981238570978,0.506840488950671,0.420109520002061,0.432289048938916,0.399964674624795,0.711712042810276
-950,cane,9m,OC,Trial1,0.548735004805681,0.445093841866164,0.642650945570982,0.518749615734706,0.488197995961007,0.53363009436948,0.539601128515146,0.442771170802274,0.748793053485769,0.456142439885774,0.590840330713234,0.386666247733412,0.516824128715031,0.42454872937897,0.429407407863489,0.408434364507853,0.70567610266962
-940,cane,9m,OC,Trial1,0.567793966097662,0.451139315188127,0.6343703995105,0.523190355116751,0.505940854429647,0.536573948942499,0.541540484224459,0.43945845358552,0.724772608353296,0.449576194188146,0.588754664879027,0.370055970936226,0.525508975261274,0.432243776101771,0.426439695022405,0.419890864510293,0.69913247288578
-930,cane,9m,OC,Trial1,0.586463795702209,0.458530070124123,0.627215738600114,0.528500602737362,0.52561313400792,0.538309965000751,0.544223984920894,0.437300959371107,0.701107394629037,0.446709812689037,0.587245097515423,0.355069652465119,0.53286094520803,0.443338396338584,0.42188181663265,0.429695034410826,0.689898216359932
-920,cane,9m,OC,Trial1,0.602224241541875,0.466517067886039,0.621207527598884,0.534348371263684,0.545634638004755,0.538790939819266,0.546985611791131,0.436483465732016,0.678111881768136,0.447250823489576,0.585663997935776,0.34211077204641,0.537960163335154,0.45802067460588,0.414213152324896,0.436924413318313,0.680277630827068
-910,cane,9m,OC,Trial1,0.615002092335153,0.474665762870682,0.616478891172788,0.541414400780167,0.563548889200389,0.537671900256147,0.548986831758604,0.437238736818327,0.656075901411281,0.450812242641078,0.583599016555501,0.330843112108799,0.541455082833071,0.476034782219378,0.407712235816591,0.441021640649364,0.670826469079218
-900,cane,9m,OC,Trial1,0.625337691878463,0.482586250889628,0.61312384416478,0.548399572605653,0.57830992062808,0.537225530149982,0.549170715492546,0.43982793628047,0.635247775132356,0.456995760959156,0.580835811835502,0.321961887788861,0.544356884594531,0.496775949713049,0.402279276127772,0.445065448550785,0.661329613133438
-890,cane,9m,OC,Trial1,0.633552264696748,0.489519521222701,0.613171762880336,0.553710656597741,0.589547455265408,0.54038859442315,0.547684380006484,0.444535049241933,0.6158479299146,0.465357497864828,0.577430863546931,0.318977179263395,0.547505145356849,0.51965241921643,0.397117891724887,0.449921740950766,0.651680040245215
-880,cane,9m,OC,Trial1,0.639579503684715,0.494663896274071,0.616918201258629,0.556133232905001,0.597307053237368,0.54551368027819,0.545720230670004,0.451785471411999,0.598085032055626,0.475383331960603,0.57368157404461,0.319675508542458,0.552123155448224,0.544178865466204,0.393600792308812,0.454749253535892,0.642019457066899
