Time,Condition,Age,ChannelPair,connect_overtime_LA_EEG_Pilot02_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot03_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot04_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot05_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot06_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot07_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot08_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot09_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot10_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot11_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot12_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot13_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot15_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot17_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot18_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot20_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot21_CTS_MTH_chanpair_9m.mat
-1000,cane,9m,FC,0.511674559570299,0.64922823689592,0.575857670980176,0.499573850037713,0.48764968345186,0.411014181883302,0.67738205088198,0.645906588771068,0.574850399360382,0.545360021703948,0.525946537726231,0.55983543810345,0.608665937620123,0.57379118262643,0.594825327053727,0.487971659714818,0.474447177959054
-990,cane,9m,FC,0.508243519863101,0.650250737332651,0.568997126855908,0.497402607543324,0.489719667435331,0.414905280176989,0.67579089133901,0.64604663265071,0.573057877865535,0.550328659604005,0.522196390789586,0.559568072490166,0.612195943918207,0.571318088435838,0.593922203574376,0.489715861151369,0.470728662096745
-980,cane,9m,FC,0.505550880608556,0.650949949429941,0.560706646959495,0.495771070551796,0.490363817608409,0.419276802055472,0.673211427867335,0.647139751943103,0.571806234389627,0.554258989799584,0.520164241007922,0.559946815116211,0.614429845367214,0.568615439488919,0.593118975305493,0.489793131255478,0.466902968166621
-970,cane,9m,FC,0.50340663871337,0.651357499767852,0.55182576503167,0.494652804856609,0.489164872701367,0.424031680532398,0.670240051318009,0.649126148303205,0.570900916497701,0.556833839412332,0.519309646503557,0.560588424833738,0.615880367941668,0.566623834530537,0.592166993602752,0.487831985670181,0.463356640382464
-960,cane,9m,FC,0.501962385567142,0.651197265145176,0.543347133820461,0.493828671918199,0.487683078080806,0.428688160692447,0.667504360727441,0.651471115400108,0.56977818889667,0.558276400695655,0.519711531614114,0.560767494500543,0.616792894899708,0.566054793704998,0.590923220519377,0.484585253402964,0.460370497805873
-950,cane,9m,FC,0.500226458281592,0.650710826767362,0.535579608101035,0.493545738450325,0.485561325889834,0.432881516452999,0.664471028248244,0.653694299079443,0.568430538055673,0.558574315284261,0.520734332640467,0.559966775778369,0.616941391812541,0.565681793831253,0.589966884638245,0.48056286061972,0.458307327194539
-940,cane,9m,FC,0.497887106610116,0.649801906258184,0.528658331618918,0.493517614699799,0.48348087521261,0.436127774637948,0.660197976171615,0.65525842138078,0.566905146139358,0.55746140783375,0.521656318892182,0.558573083644543,0.617025359718958,0.564924721000087,0.589746726220459,0.476207217953651,0.457053153784499
-930,cane,9m,FC,0.494862529887366,0.648374713711858,0.52246282345995,0.493048099777351,0.482527258196716,0.43828070165726,0.654626792343407,0.656549173524155,0.565585669438704,0.554305976828406,0.522376464455515,0.557965614048519,0.616616915817251,0.56360042530546,0.590092336168697,0.472646123983514,0.456454863655939
-920,cane,9m,FC,0.490545535789173,0.646440909987448,0.516483788618982,0.491988336607448,0.48342391948978,0.440207979932212,0.648051091352908,0.657667001272174,0.564563948818351,0.550085741317709,0.524712617328291,0.55818246759648,0.614758305109166,0.562063491955513,0.590950265085263,0.470789423959785,0.456923974674627
-910,cane,9m,FC,0.484935768517284,0.643705541164495,0.511061300312066,0.490813779949341,0.487252210112672,0.441423905984098,0.64060707540134,0.658261848911797,0.563400750020317,0.54569150180244,0.52853182704874,0.559527117972623,0.611109538701262,0.56044033588973,0.592332866180695,0.469966817091647,0.458829123935753
-900,cane,9m,FC,0.478564745893742,0.64028728788776,0.505822947936928,0.489723138054106,0.494957833595084,0.441229599474115,0.633457376423189,0.658042207024386,0.562434127752215,0.541082604205235,0.532993638783995,0.561384723329123,0.606338347964896,0.558949911118139,0.594380429752071,0.470565028446481,0.462504655746899
-890,cane,9m,FC,0.472620276160216,0.637191253586895,0.501332483301852,0.488389667583128,0.505144048854474,0.439759744332884,0.626647763167755,0.656909241200892,0.56123059054523,0.537509393905365,0.538519451389423,0.564203591244596,0.601009709210375,0.557006596251313,0.59699041436511,0.471387480173922,0.466527517440904
-880,cane,9m,FC,0.467398012424117,0.634522050780307,0.498067393145903,0.486763159677139,0.516481626658067,0.43644620094879,0.619323006730537,0.655204335545037,0.560590213638844,0.535193380089922,0.544935497598941,0.566939891644135,0.595110246423761,0.554113959160703,0.599744857114105,0.470641521430602,0.470801413630365
-870,cane,9m,FC,0.463012555478101,0.631823605000772,0.49549044941665,0.485663814294247,0.52809974436377,0.432117103357629,0.610226252171995,0.653053395481365,0.560781483090269,0.533434822069863,0.552158130810596,0.569479531828051,0.588924434520529,0.549350604023794,0.602450048273074,0.468334357876054,0.475052572635821
-860,cane,9m,FC,0.46034172368427,0.630055564959437,0.492384650757319,0.484851208606994,0.539779847517394,0.428704941515098,0.599680018797931,0.650863538683599,0.560986494847491,0.532189096797928,0.559638913437515,0.572205125058198,0.583086209957263,0.544022376387955,0.605253188343931,0.466316126389635,0.47849378059286
-850,cane,9m,FC,0.458880049608014,0.629304616982867,0.488094864244738,0.484564119804932,0.551508374561407,0.426054773985005,0.588225616293325,0.649519101441393,0.560824423640213,0.531270101081656,0.566846812981039,0.574746032945485,0.578262676789953,0.539488118013347,0.607935722995118,0.465869795856055,0.481641383614692
-840,cane,9m,FC,0.458522124209603,0.629330587831539,0.483185928599694,0.485374201641281,0.562826882190009,0.423799819287096,0.575861670981037,0.649892246103356,0.560672187964829,0.531068332098507,0.573706197288085,0.576877267337775,0.574220653839292,0.536154075811082,0.610072855582817,0.467179253802243,0.484864349560414
-830,cane,9m,FC,0.459200055818114,0.630667043046054,0.478203039695814,0.487084135289553,0.573275453588445,0.421623826580779,0.562221185597426,0.651972161203377,0.560260233721291,0.531001495595074,0.580405040322669,0.578896149072704,0.57016086398265,0.534303489182049,0.611676890566124,0.46930012614263,0.487867274107266
-820,cane,9m,FC,0.460572908381063,0.632824153574635,0.474046679146058,0.489539292464023,0.582809079674884,0.419779617086944,0.548782142427403,0.655132904822851,0.559049426429542,0.532217559358578,0.586506505048722,0.581243071974248,0.565941431408712,0.533764523726314,0.612326496321374,0.47125038686609,0.490187850692059
-810,cane,9m,FC,0.461884058581024,0.635612509585728,0.470860421269699,0.492343026455001,0.591365469028092,0.41779686733137,0.536568705994056,0.659447635736727,0.556737504702076,0.534152212322477,0.591770130491061,0.583300787149357,0.561788643124321,0.53377857363541,0.612442648279814,0.472264700401469,0.491635667017635
-800,cane,9m,FC,0.462601549457594,0.639135537289769,0.468417537605245,0.494548430304841,0.598486552822595,0.415975777203223,0.526426846842285,0.664841784233676,0.553479330421953,0.537006360761296,0.596328244285305,0.585026001799813,0.558823702259807,0.533701944242053,0.612468413238796,0.471596288193294,0.49232642366347
-790,cane,9m,FC,0.462106867514074,0.643276335763105,0.466915534942579,0.495998337906638,0.603903517070863,0.415404522673013,0.519205280933524,0.670338603574871,0.549581594032429,0.540206016650836,0.600331806973816,0.586462346810929,0.55559747373775,0.533954198131428,0.612188413410792,0.469267583629824,0.492245404295066
-780,cane,9m,FC,0.460735486435035,0.647422310735436,0.467165159234172,0.497146059079309,0.607760301936742,0.417921035398494,0.514809221078773,0.676004726152192,0.545422645258633,0.54298220562204,0.603651341053974,0.587738249493886,0.551829235960024,0.534426528548591,0.612199518662222,0.466431589380045,0.491905385198816
-770,cane,9m,FC,0.45932104761746,0.651150646867086,0.469336063492353,0.497669975744457,0.609770900492673,0.422176250513635,0.512051810805551,0.681624917609348,0.541336681722621,0.545849234516933,0.606329523804956,0.588810168861921,0.548021971455469,0.534484057767144,0.612478198267279,0.464308037229842,0.491961184983315
-760,cane,9m,FC,0.4578569097032,0.653708576793855,0.473043395162275,0.497592810183282,0.609959136958493,0.42735441486071,0.510520046603191,0.687049577468664,0.537560526146869,0.548957471197725,0.607785529154447,0.589745477926192,0.544245823932616,0.534483230717734,0.612528539942705,0.462325446482169,0.493111782638149
-750,cane,9m,FC,0.456674493849938,0.655646516759759,0.478440995522909,0.497477734911204,0.608513196798593,0.433071632420022,0.510623509747766,0.692320731725872,0.533479392236209,0.552276066357266,0.607788058882478,0.590651969702199,0.54058964718676,0.53517282600021,0.612886390724682,0.459430950054136,0.495108503509598
-740,cane,9m,FC,0.455788347148092,0.656680512605496,0.485000072743774,0.496876381727342,0.605679330863738,0.438319000447264,0.511277954161427,0.696877374752388,0.529185227662913,0.555583718937387,0.608257736666088,0.591530536584134,0.536946814672559,0.535549461486772,0.613249501996142,0.455387000641718,0.497194445692266
-730,cane,9m,FC,0.454817208177919,0.656476669887255,0.491760834639891,0.495614748343787,0.601667123854429,0.441584954022767,0.511895521959941,0.701214241940638,0.524449978411554,0.558560911856899,0.610049689988843,0.592718596599771,0.534557454141739,0.535085428191547,0.613574096562813,0.451296238315806,0.49953966969618
-720,cane,9m,FC,0.453735407642603,0.655038589160002,0.498779209518819,0.493204979956895,0.596703763807047,0.442200132907991,0.511150507053268,0.705671356251363,0.519255158270204,0.560850801564133,0.612486322856816,0.594506594873592,0.53391287490722,0.534196900455276,0.614035054330583,0.447782710514092,0.501378320724927
-710,cane,9m,FC,0.452059185205712,0.652695971169954,0.505940458636824,0.490149078391964,0.591131931178363,0.438978313772596,0.509453844076008,0.710051439613071,0.513833357332301,0.562348400184428,0.614942043523386,0.596773268660132,0.534648395958679,0.532155591107297,0.614873968083369,0.445428730427032,0.503649148720149
-700,cane,9m,FC,0.449996334678481,0.64943899322976,0.513139192505218,0.487195530018778,0.584628813367057,0.43367006827368,0.507337007473595,0.714311467508801,0.508628526508032,0.56306117689566,0.616480977371623,0.598841085138019,0.537178965168563,0.528096228181915,0.615729229911108,0.445572957144792,0.505783866224179
-690,cane,9m,FC,0.447399861151047,0.645637105451704,0.520795655453821,0.484257812149707,0.578033819099541,0.427233437843346,0.504743696879751,0.71828878249852,0.503366127996462,0.562900382596469,0.616774077141735,0.601017148500131,0.541596515840083,0.521952848093211,0.616722407827531,0.448453745532805,0.507078465299404
-680,cane,9m,FC,0.443148875594977,0.641781917043419,0.528665761283945,0.48163531489856,0.571997464548628,0.420933577756946,0.501450538796914,0.721860187380601,0.498840486643885,0.561977111160097,0.615569996089909,0.602989489715663,0.54681169614771,0.515049300800822,0.618109370559079,0.453743417815926,0.507548109172478
-670,cane,9m,FC,0.438341066115592,0.638372528486958,0.536232899173093,0.479725768103435,0.566869363783633,0.415478955776912,0.497777725203199,0.72458482632406,0.495900282777292,0.560551487140618,0.612626476346966,0.60504656981452,0.552769061340268,0.507872785439182,0.618933836641506,0.461373199151471,0.507217291074567
-660,cane,9m,FC,0.433683078794106,0.63596299220034,0.542741472070642,0.478390581005854,0.562256772369963,0.410088566325366,0.493442190621571,0.726534872791789,0.494774337386305,0.558966359824813,0.60843481961178,0.606780961209007,0.558298590945775,0.500381807186564,0.61897687194232,0.470263194474736,0.505803593317371
-650,cane,9m,FC,0.429827832063608,0.635104012482729,0.548714775939696,0.477478294869247,0.558442957643512,0.405654001445588,0.489065212514025,0.727899013654379,0.49517621784084,0.557634210865246,0.602707844364174,0.608711183672415,0.563243235003995,0.49319986728344,0.618536406830367,0.479574733965665,0.503356599417215
-640,cane,9m,FC,0.426333583405497,0.63472942854091,0.554312920261942,0.476684340326571,0.555314636981607,0.402621288727154,0.485341731177194,0.729300645790759,0.496597387895665,0.557014710010055,0.595542757277548,0.60997697963853,0.567181095334055,0.486795295207062,0.617629778100287,0.48856905457932,0.499450370951384
-630,cane,9m,FC,0.423250694406013,0.634070241059616,0.559388552389698,0.47605374196948,0.552812846477254,0.400525352138938,0.482967765230967,0.730690625100566,0.497640239380447,0.557718270676857,0.587660151822717,0.61087650505209,0.570564553686143,0.482241114258532,0.616297401098746,0.497522967012087,0.494627290946332
-620,cane,9m,FC,0.421099193722245,0.63307635999329,0.563278712387463,0.47543610335093,0.550670612388886,0.399858756538371,0.481454550882232,0.731689031836311,0.498060942089524,0.559451101035951,0.58033484850538,0.611207850525838,0.573740820109916,0.479800801250965,0.614645590795547,0.506354222379139,0.489503767701546
-610,cane,9m,FC,0.420181479436702,0.630798017656571,0.566512034069632,0.474786276223902,0.550173993574379,0.400317496568581,0.47979167167453,0.732578837236142,0.498028093519294,0.562113287051041,0.573314228036451,0.612211231048945,0.576880143913923,0.479932524874034,0.61244168258843,0.514219424287406,0.48418762135306
-600,cane,9m,FC,0.420627882305015,0.627013423760279,0.56990027261402,0.473880601789056,0.551156799517816,0.399375663528107,0.476487286504788,0.73401406499433,0.497735027116768,0.564569221818916,0.566555025138242,0.613666589357885,0.579954056540504,0.482850670382866,0.609219425014716,0.521239286347079,0.478478535750005
-590,cane,9m,FC,0.421497847386613,0.62226528596215,0.574162222567091,0.473355491811963,0.551716027873044,0.395975434849426,0.470923126873589,0.734715868450313,0.497614968384208,0.56703767200655,0.559922377104155,0.615681996486962,0.58296732166392,0.487504464445962,0.60554992872297,0.528864782295182,0.472068078521147
-580,cane,9m,FC,0.421978053049261,0.617065298653092,0.578907061251351,0.473090705971784,0.55129384908143,0.393736080176883,0.46421595054596,0.734655591914685,0.497380126534889,0.569260872433166,0.554002897770532,0.618635278928078,0.585646928883238,0.491520619799358,0.601789433407232,0.534891770115206,0.465596291028793
-570,cane,9m,FC,0.422051944856384,0.612345158869498,0.58389259704865,0.47286052632891,0.550550561095029,0.391906402008409,0.457031888932936,0.733122226505595,0.497883609166742,0.571029242547015,0.549232822902603,0.622424209068395,0.587529995219401,0.495633413673174,0.597841865210303,0.538919309319011,0.459259877975473
-560,cane,9m,FC,0.421272739341727,0.607757500669756,0.589534540296765,0.472364892250515,0.549373452070779,0.390275891493932,0.449584496739813,0.729896753702139,0.498570738712453,0.572365126717592,0.54561843030418,0.626752361011613,0.588049272647445,0.500444983281066,0.593790172469026,0.542979490887349,0.453130167336871
-550,cane,9m,FC,0.419568757556995,0.603672120592306,0.595968861852561,0.471611358170276,0.547830864197883,0.38805305733251,0.441360007678389,0.725941325630371,0.499251534071833,0.570591144112196,0.542637180989036,0.63108863782094,0.586390958226362,0.503558176964657,0.589628108343556,0.546661772685922,0.447699586190445
-540,cane,9m,FC,0.416674529150091,0.600088417351206,0.601975923953513,0.470752663091318,0.545665773733727,0.387315749973997,0.432128351835687,0.721869699157127,0.499775125530734,0.565580948804128,0.541356977598532,0.635086930404275,0.582602603069701,0.505208994559593,0.585798858955505,0.550115885849091,0.443554764708571
-530,cane,9m,FC,0.412230386162489,0.596984265222832,0.606467315164837,0.470007904918169,0.544061771473158,0.390539749526623,0.424364780695367,0.717714151301138,0.499967090829843,0.558118414052936,0.542049341063314,0.638560934666684,0.576908062243908,0.506058385496732,0.582984052144446,0.554235274576274,0.440459842853473
-520,cane,9m,FC,0.407490069696033,0.593924189567384,0.609748053458927,0.469780959257059,0.543229178834953,0.397880503453907,0.419069351583827,0.713942468709733,0.500409340061243,0.548943713181545,0.543895796360278,0.641630091541106,0.569266925007818,0.506905979927696,0.581481040311611,0.558051631759973,0.439689640047276
