Time,Condition,Age,ChannelPair,TrialNum,connect_overtime_LA_EEG_Pilot02_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot03_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot04_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot05_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot06_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot07_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot08_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot09_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot10_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot11_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot12_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot13_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot15_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot17_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot18_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot20_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot21_CTS_MTH_chanpair_9m.mat
-1000,cane,9m,FC,Trial1,0.476869192439937,0.847642980143314,0.754672402538251,0.501366500408659,0.65161379120585,0.368295956314592,0.510988356998491,0.378831016858897,0.607992536569457,0.697537445541158,0.43570877570977,0.343852772983474,0.404453384420643,0.638963499922278,0.539701651560651,0.498160935320211,0.684237045325163
-990,cane,9m,FC,Trial1,0.477689699100817,0.847080411056647,0.748297711492178,0.498136388635841,0.648913663619872,0.37403017357,0.490620731764129,0.387736090739927,0.597446685838238,0.702626356877669,0.443613931283119,0.340084559304384,0.402382513392798,0.646576743819402,0.541280550023691,0.497504991487889,0.696508253048948
-980,cane,9m,FC,Trial1,0.480998268274816,0.845418522958423,0.736045621297117,0.496862266507995,0.643043232250702,0.380133305963229,0.468371676949383,0.40170079476691,0.590451810264312,0.704733479267932,0.45225709813817,0.336752411620737,0.400555775315874,0.648242314272133,0.543282374524016,0.495686735559051,0.709126983453155
-970,cane,9m,FC,Trial1,0.486344183125691,0.842767810173493,0.718489694871169,0.496438084285377,0.634793601623053,0.385758325271059,0.445624641287529,0.419153124480784,0.585113678863456,0.704505728610634,0.461917316870143,0.334662821749036,0.400369976536166,0.646308610511994,0.54566624596135,0.494090516058689,0.72225862675419
-960,cane,9m,FC,Trial1,0.492102618713094,0.83928815237833,0.700173159834413,0.497587643766669,0.625834194164784,0.390305678179658,0.42581712444113,0.438939975389847,0.580839173135883,0.703326422763687,0.472018211683186,0.334577225912393,0.400463018993809,0.641383369739438,0.548571858880258,0.492011013870277,0.736018725357254
-950,cane,9m,FC,Trial1,0.496703922586731,0.835131216902881,0.682111939785847,0.500111124058679,0.615662218225011,0.393116791784772,0.408637161495352,0.460152272542419,0.577257384679665,0.702456423182216,0.481769445184476,0.336959566529206,0.399608040215029,0.633921492699489,0.551866824477452,0.488242339951803,0.748226955996408
-940,cane,9m,FC,Trial1,0.50271774441362,0.830407118828652,0.665520675852698,0.503311215664889,0.604988136519843,0.392999869726106,0.392841295371295,0.480331590187997,0.574142837269706,0.702285910106442,0.490495794669809,0.341081676946615,0.396414543314593,0.62442340445899,0.555352552740588,0.481826402336304,0.757457681538234
-930,cane,9m,FC,Trial1,0.508769877064146,0.825189290165504,0.649103511902749,0.506482632394176,0.594523454121871,0.39072974031849,0.378375649190006,0.49908093796181,0.571955888562428,0.703065916382586,0.497751409372089,0.349215683018193,0.389935576800093,0.613509293796582,0.559011599484612,0.47212878684604,0.760619496077674
-920,cane,9m,FC,Trial1,0.514696931634763,0.819556339422338,0.632286676812655,0.509008877502762,0.584981859658784,0.38648358492532,0.365866438175331,0.516660231582774,0.57065552603561,0.705072778348459,0.503652238625734,0.361187717626852,0.377863383023322,0.602049151176462,0.56288334104374,0.461346621987517,0.758601975356596
-910,cane,9m,FC,Trial1,0.520227762889381,0.813668865920431,0.614761228713896,0.510529109525831,0.579656952620063,0.380356062614736,0.356517609527429,0.532788967934508,0.56939021423273,0.708545477328682,0.507869959836325,0.376540940079777,0.36370671284798,0.591323335952851,0.566924127908365,0.450384681092649,0.752717507401549
