Time,Condition,Age,ChannelPair,connect_overtime_LA_EEG_12_P04_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P05_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P06_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P07_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P08_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P10_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P11_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P16_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P17_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P19_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P20_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P21_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P22_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P23_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P24_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P25_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P26_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P27_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P28_CTS_MTH_chanpair_12m.mat
-1000,cane,12m,PO,0.554195961403572,0.48742030247968,0.538971656602248,0.563431748217414,0.576707040069811,0.493533235522066,0.514043649834499,0.553730692180579,0.681270924075876,0.570022562019393,0.648281042262174,0.69387690459788,0.485951392617182,0.539240484218089,0.539372307727381,0.571755734279837,0.595094751643472,0.513615906139634,0.454615177787983
-990,cane,12m,PO,0.555245156047274,0.490219756648038,0.534841631120488,0.564287388624284,0.57810759999413,0.49956868665714,0.506600763631245,0.550889277128484,0.682148217322917,0.564319971248782,0.650818624885106,0.692254030355237,0.488670840224557,0.541565980785938,0.538041741023125,0.572895002946247,0.595422524215245,0.513055803130858,0.455771581657609
-980,cane,12m,PO,0.556338523725693,0.493482424829978,0.531100542568563,0.565736754928763,0.579769451013879,0.505837756817437,0.499652181142728,0.546957008947736,0.682937314835975,0.559505802644831,0.650865326793883,0.690112914180295,0.49267580681627,0.543438792404341,0.536797701529113,0.571710758605041,0.595966115127867,0.512569882704053,0.457016119649559
-970,cane,12m,PO,0.557848677379091,0.497334393405648,0.527671436267183,0.568115985089132,0.581708158542773,0.512279919286594,0.493441512614266,0.542491996902965,0.684510769054733,0.55529280501216,0.648515771403109,0.687191903610244,0.497694708174252,0.544649788842753,0.5348977448022,0.568984731376476,0.596306661711744,0.511813411057603,0.458214626573234
-960,cane,12m,PO,0.559214741799912,0.500735045942812,0.524838638726785,0.57081091453085,0.584313140274549,0.518584373033772,0.488072586370576,0.537667593076613,0.687069016849072,0.551629532135772,0.644185231830514,0.683476830078872,0.502732620883726,0.545484200752658,0.532257073172374,0.564622191895696,0.595973815726398,0.510908596957982,0.459227037932805
-950,cane,12m,PO,0.560063588663977,0.503443899433346,0.52310426100016,0.573550787688199,0.587028901801072,0.524314454902185,0.483308580212499,0.532798874371208,0.690508179493285,0.548602520049943,0.639975013288228,0.679153356526047,0.507569970253618,0.545636599205799,0.529638998750975,0.559662419849634,0.594806886216928,0.509699782039566,0.460581669139702
-940,cane,12m,PO,0.559984748250793,0.505128515532015,0.521881243632515,0.576281293983593,0.589688123977397,0.528808765644967,0.47902979454073,0.528333909319811,0.694366551451428,0.54614570440489,0.636169235787102,0.6746532903831,0.511926639275853,0.544902779205042,0.526750273125271,0.554628092890758,0.592949919982472,0.508514339977271,0.462477512902423
-930,cane,12m,PO,0.559090906443663,0.505458584467492,0.52076209511722,0.5791226458879,0.592211931068312,0.531140337078976,0.475565128161497,0.524264752013215,0.698834315143176,0.544105730596177,0.632952664017566,0.67045277230289,0.515303310110378,0.543393227411802,0.52386703684388,0.550129737435589,0.590433796556737,0.507580403964117,0.464381424481886
-920,cane,12m,PO,0.557604714826608,0.504162634330667,0.520028650607469,0.581288995900019,0.594443020473679,0.532278972630467,0.472791749824321,0.520769854924702,0.704412035690217,0.542449720233758,0.62967906428345,0.66638024291841,0.517606626438483,0.541359358893184,0.521338956727613,0.54609733177418,0.587451970814503,0.507091734258905,0.46637472442475
-910,cane,12m,PO,0.555934208211519,0.501723244146398,0.51992024824383,0.583514258971306,0.596233580971369,0.532662694689213,0.470780631444814,0.517952942377923,0.710949211985823,0.54223644724863,0.626486522722458,0.662641723323407,0.518642608643277,0.539458610268558,0.519819340111923,0.541227874414981,0.584503342159759,0.506861024160301,0.468431101922444
