Time,Condition,Age,Cluster,connect_overtime_LA_EEG_12_P04_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P05_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P06_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P07_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P08_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P10_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P11_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P16_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P17_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P19_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P20_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P21_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P22_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P23_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P24_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P25_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P26_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P27_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P28_CTS_MTH_chanpair_12m.mat
-1500,Grasp,12m,Central,23.6584130465636,27.6344224040823,17.5319094891498,16.499600179213,32.3570858429605,14.9465302593602,18.7019657426339,8.13802770157793,22.849273663726,13.2198283928129,11.3708430294298,14.9513307345211,15.8596670481398,35.6188769889542,24.3809889261756,19.0035411105273,12.0934906663541,15.95627846295,19.6000233136848
-1498,Grasp,12m,Central,23.5863696835926,27.6556972750387,17.4714225967651,16.4983606885578,32.2852902417403,14.9595282571242,18.668685364535,8.14807911560423,22.8133283789621,13.2064354787766,11.3558747799161,14.9498860809941,15.8485564568923,35.6030519267546,24.4219843679424,19.0268237593041,12.0857341885912,15.9954334133929,19.6052156053071
-1496,Grasp,12m,Central,23.515517671086,27.6764710724603,17.40963342617,16.5007457069677,32.2155704446358,14.9708889064652,18.6333776158687,8.15955986230744,22.7752599016293,13.1914680377487,11.3404334318563,14.9468180776843,15.8372311362488,35.587667733308,24.4596936796264,19.0518386086014,12.0783332323244,16.0337261166049,19.6086354147295
-1494,Grasp,12m,Central,23.4463422128049,27.6972645508515,17.3466961749538,16.5071678811299,32.1475735529868,14.980702238022,18.5962338337104,8.17237240365753,22.7349698382698,13.175068900755,11.324390398973,14.9421147918791,15.8259050691954,35.5725420728861,24.4940443416332,19.0778651082532,12.071364127856,16.0710667773826,19.6104834175047
-1492,Grasp,12m,Central,23.3789438790405,27.7180052187983,17.2828145612774,16.5178692547292,32.0811335000487,14.9893850512508,18.5575157509276,8.18658188820711,22.6921998239228,13.1576658142925,11.3076584225882,14.9355910238333,15.8148029005256,35.5572204505806,24.5250490652236,19.104142904292,12.0650403723061,16.1076969346262,19.6111272961819
-1490,Grasp,12m,Central,23.3136588343386,27.7382543526632,17.2182338220007,16.5324463753181,32.0167395228166,14.9968888285037,18.5175611261735,8.20219793109634,22.646869955763,13.1391582571123,11.2901828639769,14.9271806559394,15.8039200510331,35.5415566758913,24.552349026736,19.1301438089681,12.0596514872692,16.1440074366992,19.6110622716209
-1488,Grasp,12m,Central,23.2505465742057,27.7581471251189,17.1532265053903,16.5513244933828,31.9555086726258,15.0031112838495,18.4768185829356,8.21910343509932,22.599078323986,13.1193141026538,11.2719493399407,14.9168533779422,15.7931060262935,35.525553086278,24.5756727392187,19.155546069972,12.0551406281573,16.1796704394156,19.6105817087705
-1486,Grasp,12m,Central,23.1894720348799,27.7777522674366,17.088044039372,16.5751071627458,31.895945620698,15.0080740238763,18.4358569649029,8.23720361565503,22.5491514893054,13.0981301212168,11.2529848723261,14.9044913736105,15.7823190121483,35.509265764712,24.5948767848966,19.1801770329538,12.0516987972628,16.2144439794901,19.6096952775169
-1484,Grasp,12m,Central,23.1309691616354,27.7971025525384,17.0228460313719,16.6020985998076,31.8375662293102,15.0115840539771,18.3952609156349,8.25656825025823,22.4976316166512,13.0762607182786,11.2333101615563,14.8900053999088,15.7716279080696,35.4928095300644,24.6098555288619,19.2039921815155,12.0497146705984,16.2481456226869,19.6083900082315
-1482,Grasp,12m,Central,23.0752531590121,27.8162914198716,16.9577190356527,16.6322210372697,31.780140277941,15.0135081253937,18.3554018582746,8.2767852790481,22.4445696630347,13.0532024544774,11.2129794964292,14.873372497649,15.7616533734409,35.4762282348982,24.6205271855296,19.2270749099961,12.0495700760386,16.2806028803455,19.6066514089936
-1480,Grasp,12m,Central,23.0221363731362,27.835493266758,16.8928357049259,16.6659508997677,31.723623504894,15.0136855528601,18.3163404034256,8.29771748698915,22.3898379387298,13.0288742183134,11.1923046797794,14.8546195606234,15.7518179406809,35.4594210999139,24.6268216324817,19.2496531494064,12.051488363252,16.3114711795896,19.6045061095102
-1478,Grasp,12m,Central,22.9712039520968,27.8548471691243,16.8283955702345,16.7025345152217,31.6680754615984,15.0122878281716,18.2779565216527,8.31908278893345,22.3335335350097,13.0032887311618,11.1717935180128,14.8338176196928,15.7420440936103,35.4422707426768,24.6286667913906,19.2720955827121,12.0551488879058,16.3408877991271,19.6020383316029
