Time,Condition,Age,ChannelPair,connect_overtime_LA_EEG_12_P04_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P05_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P06_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P07_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P08_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P10_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P11_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P16_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P17_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P19_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P20_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P21_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P22_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P23_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P24_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P25_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P26_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P27_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P28_CTS_MTH_chanpair_12m.mat
-1000,cane,12m,OC,0.570380399430295,0.529522675007984,0.480842533033745,0.543755180008178,0.453098407590001,0.58545063042267,0.454177081914247,0.54630923282142,0.63037519875983,0.494159221058289,0.625911891589452,0.53010235452601,0.442054838906403,0.470742948163362,0.508969085822126,0.431693773261691,0.604775299461446,0.450793482954696,0.55067685477554
-990,cane,12m,OC,0.567663430308617,0.529508049075136,0.479387765672051,0.545313229059287,0.453703882275224,0.589715711930922,0.45661316583595,0.544769993823,0.627189821978142,0.493328532535211,0.630992122114735,0.531182399011001,0.443615442371055,0.470489475364159,0.514709214271937,0.426421457822559,0.60656550343606,0.451532974200341,0.550125068504219
-980,cane,12m,OC,0.564656873217138,0.530151374948603,0.47791861920382,0.545924922618112,0.454488948363194,0.593920200112232,0.458997901541138,0.544097364964509,0.624570207517917,0.492907597556758,0.635654551794702,0.532565315953613,0.444836916648746,0.469950373578555,0.520477279037026,0.421797140750052,0.60784305270698,0.452404966572325,0.549091252613675
-970,cane,12m,OC,0.561416638962845,0.531460471391267,0.476239726599731,0.546315611309989,0.455235958898606,0.597770870309718,0.461430656899001,0.543906387386653,0.622779146827065,0.492626693903225,0.64028278832879,0.533815959179235,0.445819271489376,0.469315110727552,0.525850214824355,0.417949314412544,0.608586505956801,0.453365886849351,0.547765034968545
-960,cane,12m,OC,0.557947402015162,0.533349354637965,0.474246407178987,0.546936719092607,0.455616145627233,0.601317600664786,0.463825912186025,0.543810962670244,0.621847702681231,0.492476579150243,0.644787580432097,0.535302984485609,0.446700508743601,0.468628642646983,0.530982799075094,0.414775616861114,0.608875802451802,0.4539378925234,0.546254923364557
-950,cane,12m,OC,0.554339917001134,0.535510532053006,0.472525065310112,0.547233486678037,0.455820327459655,0.604824599829254,0.465754749926953,0.543820155379791,0.621730833400761,0.492386111077147,0.648881049277771,0.537134464209822,0.447286495742809,0.467865985006462,0.535780269439784,0.412956920215068,0.607870810547299,0.4538812798864,0.544779973493758
-940,cane,12m,OC,0.550480609788692,0.537780396931174,0.471738232795617,0.546890800674391,0.455712503095339,0.608720008564993,0.467966380241149,0.543915261661792,0.622463116735914,0.492331388903205,0.652542366741073,0.539075218156351,0.447843357739024,0.467104531574658,0.540152433426175,0.413129922195672,0.605835955160213,0.45312274790305,0.543439049165239
-930,cane,12m,OC,0.546520412653064,0.539867670675501,0.471092069189158,0.545508241573945,0.455537914655258,0.613109547911632,0.471728846150696,0.544044399694539,0.624067651469836,0.49225406712098,0.655597035899187,0.540804688532729,0.448165103630192,0.466490534535527,0.54407622170706,0.415130278243721,0.603264753444849,0.452439590869554,0.542364777176546
-920,cane,12m,OC,0.542834171109706,0.541595069568012,0.470808007334242,0.543145891648102,0.455460029748251,0.617298372755666,0.476361315357261,0.544223227039801,0.626298082449843,0.49225871613674,0.659178551223977,0.542289693757661,0.448004524140334,0.465891209351241,0.547529565795538,0.417998740647214,0.600050419954561,0.451645358966375,0.541631163505105
-910,cane,12m,OC,0.53936395843397,0.543065636662278,0.47068409129859,0.539771960628103,0.455503777982754,0.620946285962843,0.481807503379331,0.544173742445458,0.628671460147602,0.492419164508924,0.663087620349697,0.543653255888993,0.44765720593319,0.465189526222296,0.550591904568525,0.421396883333982,0.59656770615717,0.450636074941264,0.540610984684611
