Time,Condition,Age,ChannelPair,connect_overtime_LA_EEG_12_P04_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P05_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P06_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P07_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P08_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P10_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P11_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P16_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P17_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P19_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P20_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P21_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P22_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P23_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P24_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P25_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P26_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P27_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P28_CTS_MTH_chanpair_12m.mat
-1000,cane,12m,PC,0.520390846773292,0.572829143352549,0.545416816267691,0.613781686517245,0.693332450704679,0.531415959115906,0.433194226297063,0.485029359361434,0.599517392208259,0.540883472708827,0.637774940388956,0.530351185569529,0.47998605721478,0.743854663983808,0.601725316027641,0.54246488472504,0.564620349182568,0.595743401770454,0.566587369421734
-990,cane,12m,PC,0.521200427968693,0.57409727087631,0.538217325694444,0.616995537652861,0.692997390928011,0.531805917170588,0.437414888464478,0.479746511576647,0.598148682457444,0.528333456842993,0.64704958787501,0.526658131368917,0.478539790932563,0.741965906716569,0.603093028335761,0.546244458541711,0.567935476141042,0.593869121554787,0.568871480386632
-980,cane,12m,PC,0.522006442032785,0.575570892895194,0.530419530758185,0.618268395880368,0.692113856343629,0.530702364441249,0.442928234087059,0.473739951443894,0.596263590151282,0.515772139714873,0.654661015535943,0.522950665745573,0.478126563773234,0.739447091148356,0.605189769427291,0.548623879585484,0.570649917458854,0.592634795700491,0.568878710916031
-970,cane,12m,PC,0.52290183591019,0.577223924341282,0.522155070242786,0.617552663999107,0.690714865276034,0.529261669745271,0.449205339450349,0.467066535725183,0.594404073356837,0.504018854670015,0.661540693883244,0.519383262250215,0.478749771642341,0.736483771353739,0.607772845471534,0.550487289691069,0.57249317647094,0.592132634789365,0.566194848051959
-960,cane,12m,PC,0.523948214296521,0.579064254550597,0.513384121938844,0.614507454740877,0.687966170746867,0.527091178059401,0.45620035247134,0.46031218882493,0.592403432877424,0.493264650425975,0.667807146367833,0.516153607712639,0.479532968607728,0.733187825433024,0.610823380251804,0.552581516439711,0.573118163266357,0.592767234835959,0.561547413242633
-950,cane,12m,PC,0.52486564997125,0.580995170894969,0.503953580876459,0.608187714370553,0.684229541180172,0.523833898157741,0.463541877020794,0.45381471881441,0.589584046901048,0.483578651967506,0.673321866101936,0.513412866095956,0.479597733725095,0.729417251659068,0.613544054047578,0.555254667593347,0.573397249399061,0.594497381734173,0.555252074041451
-940,cane,12m,PC,0.525051548074954,0.582419969577851,0.494690181255088,0.599799947232067,0.679684771112826,0.519445959800751,0.471505180758466,0.447737100879068,0.58620113212638,0.475097991407761,0.678258278716106,0.511590891713637,0.479305334284313,0.7249747034674,0.616282022329145,0.558538108677824,0.573968343238563,0.59658796910156,0.547653428590223
-930,cane,12m,PC,0.525144851746825,0.583547579822897,0.486059662078251,0.589832701787869,0.674625365793735,0.51400378470829,0.479783897344783,0.441511302116399,0.582286258068641,0.467279984781191,0.682206432428066,0.510572692665812,0.479295382660552,0.719739960185486,0.619301216747735,0.561451992422006,0.574536147665877,0.59849144579557,0.539291768494385
-920,cane,12m,PC,0.525401337529269,0.584489059610179,0.479513658394284,0.578915862597214,0.669838397838376,0.507150651591409,0.488102553810535,0.435658515383015,0.57827914007739,0.460275774092129,0.684997772685604,0.51028779603941,0.479409924965119,0.713845605136478,0.622673117037462,0.563644988321084,0.575218172266122,0.599743282008173,0.530577558889601
-910,cane,12m,PC,0.525715705303942,0.584791828377738,0.475815242940897,0.567249331957946,0.665651101230729,0.498907152951342,0.496894974955222,0.431066041371339,0.574639917017851,0.45428074755808,0.686327452435153,0.510778909352838,0.479071887700836,0.70741901011902,0.626018505649542,0.564864258483904,0.575969369241512,0.600165248037903,0.522557954062355
-900,cane,12m,PC,0.526128675000143,0.584878569342935,0.474590976581343,0.556218336199427,0.662012328645801,0.48979699801181,0.504166621112172,0.427531540531713,0.571477263279025,0.449258196296332,0.686042237433378,0.512009817088784,0.478171140782715,0.700377699349027,0.629141649679461,0.567385949332952,0.577070437603561,0.599497755697234,0.515143061936027
