Time,Condition,Age,ChannelPair,connect_overtime_LA_EEG_12_P04_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P05_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P06_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P07_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P08_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P10_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P11_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P16_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P17_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P19_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P20_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P21_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P22_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P23_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P24_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P25_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P26_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P27_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P28_CTS_MTH_chanpair_12m.mat
-1000,cane,12m,OC,0.441847044471267,0.426862087378143,0.469133210027,0.52677135720712,0.508394330892367,0.62945146732024,0.466981339621896,0.486862742275032,0.499107982755815,0.55870400660754,0.556925165504048,0.480961852968831,0.492977205240492,0.514246782387824,0.514933895393637,0.433360857403791,0.493214615209289,0.541928832854276,0.356407848427693
-990,cane,12m,OC,0.444004687084606,0.437248058155715,0.465284806386808,0.522715635128352,0.50909771273313,0.633187517727359,0.473014097688095,0.491349498466405,0.492761266576145,0.549422065401905,0.557928027140146,0.481601671558429,0.495875175778331,0.513424266919225,0.520431853888469,0.431154211193242,0.494359799450996,0.540394154305547,0.365661578226132
-980,cane,12m,OC,0.448495519751199,0.450227757413223,0.46318920242832,0.516323465575032,0.510405183742737,0.635623896523318,0.479203198064799,0.495330174833917,0.485225582721012,0.540108218548781,0.560472640606225,0.482316069633058,0.495495176712834,0.509175337981425,0.526761618855369,0.429579764904795,0.497397440162998,0.537415015950971,0.375333926058913
-970,cane,12m,OC,0.455018370359671,0.464540191164432,0.465643440644819,0.510127483705813,0.511663885611061,0.635304152926906,0.484332486282012,0.497324420957219,0.473588457711525,0.528106031321009,0.563152359281899,0.485527694844065,0.494064270844521,0.503216430230166,0.534954520526551,0.426712296357677,0.499848486093023,0.534755094724402,0.383970252117711
-960,cane,12m,OC,0.461469186003314,0.477530229493902,0.470781639862385,0.504883902545747,0.514598090199078,0.630649215583434,0.489348712214583,0.499014228489735,0.455721905662743,0.512932516838198,0.564902253694471,0.488579207673767,0.493493512072285,0.499274559366881,0.542626807584171,0.420860733715181,0.498387406084747,0.533097319433418,0.390207446806854
-950,cane,12m,OC,0.467323861328131,0.487122979076981,0.47624997223178,0.500074934595928,0.516849600884744,0.619151200206336,0.492660181307707,0.501575563326892,0.426350145647432,0.497640073175413,0.566811031680794,0.489653385785542,0.492065004893449,0.498867425876691,0.544932054912307,0.413213298214617,0.497096597158152,0.532370784371834,0.398823725999762
-940,cane,12m,OC,0.472603267046336,0.493476527467088,0.48065526857133,0.493207085906019,0.519916808706664,0.604187228123082,0.495253616146181,0.504408351861329,0.392091499749822,0.483445328924152,0.565888590690329,0.489541885957339,0.489155238048252,0.499127634770265,0.541653539628804,0.406890154569024,0.496112957532527,0.533004640644083,0.410793156241035
-930,cane,12m,OC,0.478206374903833,0.499275190948982,0.48244030404552,0.482163215531469,0.524762149639901,0.589872569451569,0.497232812353096,0.504704219293301,0.361219796102909,0.473036183156054,0.560794414700578,0.489106846744901,0.486528858175805,0.499260346310881,0.536250632601461,0.401459794462773,0.497881032791519,0.534805534302213,0.422107018640308
-920,cane,12m,OC,0.483583855855255,0.505040103112971,0.48215226725594,0.467319729332214,0.528605830021668,0.577400313053569,0.497983434136584,0.502842586781958,0.33597551276051,0.468346514235743,0.550059901416349,0.488450112319898,0.483070439111176,0.498583907485201,0.53074529948858,0.397497784737062,0.506032685394198,0.535318428456575,0.42863050737281
-910,cane,12m,OC,0.489678697511329,0.511926235463808,0.483111236010889,0.450282945436971,0.528742659188047,0.564252625041023,0.496888723205422,0.503041811058511,0.321771486240365,0.465695699168666,0.536768419148886,0.48614874930444,0.479427002233893,0.496763346047317,0.525356439486962,0.398079646930845,0.517107813863005,0.533607364223127,0.429797592078842
