Time,Condition,Age,Cluster,connect_overtime_LA_EEG_Pilot02_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot03_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot04_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot05_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot06_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot07_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot08_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot09_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot10_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot11_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot12_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot13_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot15_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot17_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot18_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot20_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot21_CTS_MTH_chanpair_9m.mat
-1500,Grasp,9m,Frontal,17.2379329831885,12.7322396992875,13.8462969794483,17.3292306505369,10.962775822438,7.20281453700979,21.3017884867115,11.2589437708998,23.9484080542905,14.3261723083542,15.0853985824659,12.8385987598986,9.48934356208745,17.4910848566213,23.6157428897656,12.3802427282626,16.737865985355
-1498,Grasp,9m,Frontal,17.1944201573625,12.7111968442874,13.8196017545213,17.3174180328601,10.9743023144166,7.23301324383719,21.3329331778425,11.2209094814782,23.9427736318767,14.3387035194213,15.0942712915834,12.7276470479909,9.49907533403093,17.5003092715232,23.6947285793214,12.5193880788969,16.7004488963789
-1496,Grasp,9m,Frontal,17.1559849151592,12.6907586601904,13.7945109796677,17.3046455618145,10.9859830830993,7.26782695684795,21.362959294353,11.1817695402308,23.9338622949326,14.3478192093535,15.1048839083932,12.6161032178163,9.50925627435938,17.5064270213225,23.770675191309,12.6638922019772,16.6603983442364
-1494,Grasp,9m,Frontal,17.1227492844062,12.6697542670539,13.7711315778821,17.2910193175825,10.9981316423577,7.30808940936035,21.3918495513774,11.1415786846388,23.9219793388036,14.3537148053949,15.1172314188326,12.5047911987982,9.52069382529016,17.5092727618459,23.8436375124679,12.8137818695162,16.6173402577378
-1492,Grasp,9m,Frontal,17.0919075583979,12.6480579577204,13.7497285416331,17.2772812353303,11.0109473944877,7.35057131805638,21.4197255904418,11.1004084901424,23.9071481475881,14.356607691346,15.1308780533561,12.3946433627818,9.53263507019508,17.5094618556834,23.9135832621307,12.9690395122149,16.571043284611
-1490,Grasp,9m,Frontal,17.0648568443951,12.6256437090632,13.7303758515294,17.2638800510882,11.0244200261726,7.39441978566715,21.4464755440057,11.0583409044235,23.8892458602183,14.3565524706317,15.1455031147262,12.2862438575323,9.54492853074253,17.5071912559431,23.9801288405785,13.1288658135098,16.5214235745613
-1488,Grasp,9m,Frontal,17.0426767890088,12.6025500691815,13.7128753726056,17.2508496838869,11.0385302408712,7.43905952072435,21.4719525242777,11.0154646581827,23.8682584241838,14.3534227972181,15.1616523640684,12.1801348437187,9.55790592885818,17.5019150463032,24.0429537160563,13.292515663213,16.468527186652
-1486,Grasp,9m,Frontal,17.0247606431445,12.5788164481812,13.6973599168703,17.2383672906413,11.0533847396476,7.48412031586024,21.4962226810133,10.971881167997,23.8443023108358,14.3469620618642,15.1803708041318,12.0781748791365,9.57210953616731,17.4945409808288,24.1018822289639,13.4591172698956,16.4125009401226
-1484,Grasp,9m,Frontal,17.009630604943,12.5543878286893,13.684830945651,17.2265967486111,11.0689891520952,7.52927926800171,21.5195833261723,10.9276995529503,23.8176722334126,14.3369896263049,15.2001615075353,11.9804291722503,9.58727344776142,17.4864297949244,24.1568128815896,13.6280975531728,16.3535261676227
-1482,Grasp,9m,Frontal,16.9981700738133,12.5291130617117,13.6764521919587,17.2154847938124,11.0852465914063,7.57421736061504,21.5407942721848,10.8830395775588,23.7898657032631,14.3234530763515,15.2208048634997,11.8878741415314,9.60279998955296,17.4769467750492,24.207698700877,13.7993332141191,16.2917217662148
-1480,Grasp,9m,Frontal,16.9895964123875,12.5028365200439,13.6706849721247,17.2045911499428,11.1021989021669,7.61862723201373,21.5593396686485,10.8380341327886,23.7624646646739,14.3063948507122,15.2424730957156,11.8017339779124,9.61849625414465,17.4647226360505,24.2545464397403,13.9721732700764,16.2272029750043
-1478,Grasp,9m,Frontal,16.9833129417987,12.4754522218084,13.6672262399966,17.1935442154737,11.1199685507914,7.66224360619268,21.5750357451107,10.792829629483,23.7341345491113,14.2859389268161,15.2659139751784,11.7236880396287,9.63413482128854,17.4492381279279,24.2974026929989,14.1457899258603,16.1602128589779
-1476,Grasp,9m,Frontal,16.9788146694965,12.4469162824461,13.6668091439341,17.1823558658745,11.1386185580959,7.70488364465222,21.5876103738673,10.7476061923326,23.7044552415526,14.2623245540869,15.2903330973268,11.6544251042419,9.64944532107973,17.4304257428401,24.336328937813,14.3197096572122,16.0912138950165
