Time,Condition,Age,ChannelPair,TrialNum,connect_overtime_LA_EEG_Pilot02_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot03_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot04_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot05_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot06_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot07_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot08_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot09_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot10_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot11_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot12_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot13_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot15_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot17_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot18_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot20_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot21_CTS_MTH_chanpair_9m.mat
-1000,cane,9m,PC,Trial1,0.578376143091591,0.335473700905025,0.663866451996571,0.444480726201705,0.436835011022665,0.444575020609822,0.575047519376341,0.643296950821134,0.597411347982371,0.577426590084824,0.491269126822284,0.563556023609803,0.583600942583873,0.428829046655653,0.672372265369704,0.324693197558868,0.671632238367099
-990,cane,9m,PC,Trial1,0.568961905824731,0.35605255603865,0.653967428921515,0.444022455805682,0.44898570454338,0.450441599883034,0.554129427137503,0.651240191573504,0.583874860501588,0.583813068043012,0.497041761461224,0.549121808603334,0.591149778929274,0.417678979703441,0.67811171779947,0.326827956808209,0.64578690485568
-980,cane,9m,PC,Trial1,0.559670638497987,0.381558378677025,0.6396297490719,0.44661047084571,0.46074761745164,0.454021819288182,0.533902209201051,0.660941392646161,0.569456370283792,0.58870801509247,0.50483697703675,0.533292319512983,0.60330560311582,0.404469698172968,0.681608730212716,0.330496386849881,0.619886592098349
-970,cane,9m,PC,Trial1,0.550972028317273,0.409465522305401,0.621477831192949,0.453570923109225,0.470096356433413,0.455338420873914,0.514753942535498,0.671956914640469,0.55450552476835,0.593145013488047,0.511690478617028,0.515688158218367,0.617000934166351,0.389793416565087,0.6845814690934,0.336028041032669,0.59443401483493
-960,cane,9m,PC,Trial1,0.543179697913702,0.43868424742255,0.599968179575341,0.463663964141475,0.475896467188813,0.454718785138959,0.496684259203794,0.683854174364469,0.540875150437496,0.597545791931079,0.5166066835407,0.49592960805001,0.631311065147814,0.375080008878272,0.687423361021057,0.343675753799031,0.570214438381964
-950,cane,9m,PC,Trial1,0.536486282229852,0.46869081440618,0.573565298079551,0.476892354158547,0.478936820601472,0.450427902438889,0.478454836402748,0.696343172337259,0.530280298608598,0.601696978278125,0.518762843895115,0.4734474874034,0.645520596917593,0.358592323468196,0.690527257715043,0.35407775796156,0.547713308360882
-940,cane,9m,PC,Trial1,0.531002199295066,0.499117922726458,0.54329842202586,0.492622506490373,0.479830504319966,0.443668609129815,0.459697710951726,0.709257920074485,0.524090445835197,0.6043531748508,0.516140942901095,0.446907277145376,0.658875106955128,0.341505635699108,0.694016158057877,0.369838913608032,0.525460104290222
-930,cane,9m,PC,Trial1,0.526908935177492,0.529698191845441,0.511058834733123,0.510160795372016,0.47821000525675,0.435082924809149,0.441721150504839,0.722520979784217,0.525618324364954,0.603359540797918,0.510115665711671,0.418120139401753,0.67034027650695,0.325521829705664,0.697774023268623,0.387688766509773,0.503177642178912
-920,cane,9m,PC,Trial1,0.52431774392524,0.560179695018591,0.478189499512498,0.528787109008279,0.472744469888429,0.422413882103699,0.425655548905491,0.736114597322913,0.534908061545558,0.602369916640493,0.501595381949464,0.388712470506719,0.678859672644438,0.311076715983041,0.701614840805879,0.403825610954859,0.480811299707323
-910,cane,9m,PC,Trial1,0.523621872751543,0.590229779320024,0.44580016429585,0.547837047028088,0.467706881210407,0.409429010337488,0.411828884399008,0.750075148185266,0.548413032263556,0.602991844082862,0.491463085275623,0.35924804051778,0.68533192442917,0.299294685337199,0.705490615882872,0.416343979057222,0.457440963133965
-900,cane,9m,PC,Trial1,0.525034979416774,0.619328329888714,0.4140945250339,0.566737691967533,0.464435717953995,0.398481332570178,0.399985996733089,0.764586332569944,0.562680421860608,0.607549144608562,0.480426010581948,0.331694194988201,0.690215386406888,0.291662686350735,0.707119733572131,0.427378728018983,0.435046313876169
-890,cane,9m,PC,Trial1,0.5256390723397,0.646500992504801,0.383921340768515,0.584943807878504,0.463332720637605,0.391696991223118,0.390209311172798,0.779585395409753,0.576988502514443,0.614773532351826,0.469028882022263,0.309812885702601,0.693435290791366,0.288601055920028,0.707663674031978,0.437168121441675,0.414079648310206
-880,cane,9m,PC,Trial1,0.525100774563112,0.671024574453777,0.355955802033856,0.60147481089303,0.463645288532529,0.389586250960884,0.383125721610199,0.793543631412561,0.59070651191983,0.623563748394845,0.457697434554022,0.294775446664923,0.696791701230937,0.289344240809252,0.708735294080716,0.446443490544164,0.394018905102365
